country_code,h3,institution_count
RU,4,182
JP,3,46
PL,3,17
UA,3,48
US,3,139
AU,2,13
CA,2,17
CN,2,76
CZ,2,4
DE,2,16
GB,2,23
KZ,2,25
MN,2,5
AE,1,2
AM,1,1
AR,1,1
AT,1,2
AZ,1,4
BA,1,1
BE,1,1
BG,1,2
BR,1,12
BY,1,2
CH,1,3
CL,1,1
CO,1,2
CU,1,2
DZ,1,1
EE,1,2
EG,1,3
ES,1,4
FI,1,1
FO,1,1
FR,1,6
GE,1,2
GR,1,2
GY,1,1
HR,1,2
HU,1,4
ID,1,8
IL,1,2
IN,1,30
IQ,1,4
IR,1,8
IT,1,4
JO,1,1
KG,1,4
KH,1,1
KR,1,3
LU,1,1
LV,1,1
LY,1,1
MA,1,1
MX,1,2
MY,1,2
MZ,1,1
NG,1,10
NL,1,3
NO,1,1
NZ,1,2
OM,1,1
PA,1,1
PK,1,3
RO,1,4
RS,1,1
SA,1,2
SE,1,1
SG,1,1
SK,1,2
TH,1,3
TJ,1,2
TM,1,1
TN,1,1
TR,1,9
TW,1,3
UZ,1,12
VE,1,1
VN,1,1
ZA,1,4
ZW,1,1
