country_code,h3,institution_count
US,11,1331
GB,9,168
AU,8,46
ID,8,498
CA,7,95
DE,7,141
IN,7,811
MX,7,199
BD,6,85
ES,6,89
ET,6,34
NG,6,122
UA,6,179
ZA,6,32
CN,5,395
CO,5,149
GH,5,29
IE,5,12
IT,5,75
KE,5,41
NL,5,35
NZ,5,11
SE,5,28
AR,4,74
BE,4,17
CL,4,55
CR,4,23
CU,4,25
CZ,4,23
DK,4,15
EC,4,56
FR,4,109
GR,4,31
JP,4,150
LK,4,16
NO,4,22
PE,4,78
PK,4,115
RU,4,331
TH,4,64
TZ,4,30
UG,4,23
VE,4,32
AT,3,17
BG,3,19
BO,3,27
BR,3,189
CH,3,26
FI,3,23
HU,3,24
IR,3,116
KZ,3,42
LT,3,14
LV,3,17
MY,3,53
NP,3,20
PH,3,115
PR,3,14
PT,3,36
RO,3,41
RS,3,13
SA,3,20
SK,3,18
TW,3,44
VN,3,47
ZW,3,13
AE,2,19
AF,2,13
AL,2,9
BF,2,5
BJ,2,5
BY,2,21
CD,2,16
CI,2,7
CM,2,14
CY,2,11
EE,2,5
EG,2,39
GE,2,8
GT,2,10
HK,2,9
HN,2,10
HR,2,13
IL,2,14
IQ,2,40
JM,2,3
JO,2,14
KR,2,57
MA,2,20
MD,2,9
MK,2,7
ML,2,4
MN,2,7
MW,2,7
MZ,2,8
,2,3
NI,2,15
OM,2,6
PA,2,12
PL,2,60
PY,2,14
