country_code,h3,institution_count
US,22,2854
GB,19,390
AU,17,95
CA,16,236
BR,15,430
DE,14,363
FR,13,298
ES,11,117
KR,11,270
NL,11,73
SE,11,43
NO,10,47
BE,9,53
CH,9,78
CN,9,711
IT,9,131
ZA,9,44
FI,8,42
IR,8,246
PT,8,106
AT,7,58
CL,7,66
CO,7,161
GR,7,48
ID,7,470
IE,7,29
JP,7,520
MX,7,251
NG,7,142
TR,7,184
DK,6,35
HU,6,47
IL,6,44
IN,6,879
NZ,6,30
PE,6,88
PL,6,147
SA,6,44
TW,6,117
AR,5,85
CU,5,26
EC,5,56
EG,5,54
ET,5,40
GH,5,44
HK,5,13
KE,5,52
MY,5,71
PK,5,151
RO,5,58
TH,5,94
AE,4,37
BD,4,98
CR,4,30
CY,4,20
CZ,4,29
MA,4,38
PH,4,164
PR,4,27
PS,4,16
RS,4,20
RU,4,312
SG,4,29
TN,4,22
TZ,4,32
UG,4,37
VE,4,37
VN,4,83
BA,3,11
BG,3,27
BO,3,38
CD,3,31
CI,3,10
CM,3,22
DZ,3,48
GE,3,21
HR,3,23
IQ,3,53
IS,3,7
JM,3,6
JO,3,25
KW,3,8
KZ,3,49
LB,3,19
LK,3,21
LT,3,26
LV,3,23
MN,3,12
MO,3,5
NI,3,24
NP,3,19
PY,3,26
RW,3,10
SI,3,24
SK,3,26
SN,3,15
SY,3,11
UA,3,138
UY,3,9
ZM,3,14
ZW,3,15
