country_code,h3,institution_count
RU,6,388
UA,5,137
BY,4,26
US,4,360
AZ,3,11
CN,3,192
DE,3,85
JP,3,109
KZ,3,34
PL,3,38
UZ,3,39
AT,2,7
AU,2,20
BG,2,16
BR,2,68
CA,2,30
CZ,2,13
DK,2,4
FR,2,50
GB,2,67
GE,2,4
HR,2,7
IL,2,7
IN,2,112
IQ,2,21
IT,2,20
KR,2,37
LT,2,9
LV,2,6
MA,2,9
NL,2,9
RO,2,18
RS,2,5
SE,2,10
SK,2,7
TJ,2,7
TW,2,22
ZA,2,5
AE,1,3
AL,1,2
AM,1,3
AR,1,9
BA,1,4
BD,1,6
BE,1,6
CH,1,8
CI,1,2
CL,1,5
CM,1,1
CO,1,9
CR,1,1
CU,1,2
DZ,1,14
EC,1,3
EE,1,2
EG,1,13
ES,1,15
ET,1,1
FI,1,5
GR,1,5
HK,1,3
HU,1,7
ID,1,28
IE,1,3
IR,1,32
IS,1,1
JO,1,5
KE,1,2
KG,1,4
KN,1,1
KP,1,1
LB,1,2
LK,1,3
LY,1,3
MD,1,2
MK,1,2
MM,1,2
MN,1,1
MV,1,1
MW,1,1
MX,1,19
MY,1,14
MZ,1,2
NG,1,21
NI,1,1
NO,1,4
NP,1,2
NZ,1,2
PE,1,2
PH,1,3
PK,1,14
PR,1,1
PS,1,1
PT,1,3
PY,1,1
SA,1,4
SD,1,3
SG,1,3
SI,1,3
SS,1,1
SY,1,3
