country_code,h3,institution_count
US,6,660
CA,3,47
DE,3,46
GB,3,81
NL,3,9
AT,2,7
AU,2,29
BR,2,28
CH,2,6
CN,2,15
ES,2,12
IE,2,4
IT,2,23
ZA,2,10
AE,1,1
AR,1,8
BE,1,4
BG,1,4
BW,1,1
CL,1,5
CM,1,1
CO,1,8
CR,1,2
CU,1,1
CY,1,1
CZ,1,2
DK,1,3
DO,1,1
DZ,1,1
EE,1,2
EG,1,5
FI,1,2
FR,1,15
GH,1,2
GR,1,1
HK,1,1
HR,1,2
HU,1,4
ID,1,8
IL,1,5
IN,1,12
IQ,1,1
IR,1,1
IS,1,1
JO,1,1
JP,1,20
KR,1,3
KY,1,1
MC,1,1
MN,1,1
MO,1,1
MW,1,1
MX,1,7
MY,1,1
NG,1,2
NO,1,2
NZ,1,6
OM,1,1
PA,1,1
PE,1,2
PH,1,4
PK,1,1
PL,1,5
PR,1,4
PT,1,2
PY,1,1
RO,1,2
RU,1,23
SA,1,1
SD,1,1
SE,1,5
SG,1,1
SI,1,1
SK,1,2
SS,1,1
SV,1,1
TH,1,1
TN,1,1
TR,1,4
TW,1,5
UA,1,4
VE,1,2
VN,1,2
ZW,1,2
