country_code,h3,institution_count
ES,8,100
PL,6,184
CL,4,57
CO,4,120
MX,4,126
AR,3,68
DE,3,68
NG,3,92
RU,3,223
US,3,375
AU,2,23
BO,2,16
BR,2,107
CA,2,33
CN,2,119
CR,2,17
CU,2,22
DK,2,8
EC,2,48
FR,2,48
GB,2,66
HU,2,10
ID,2,168
IT,2,45
KR,2,39
KZ,2,41
NI,2,10
NL,2,18
PE,2,61
PH,2,23
PR,2,10
PT,2,29
SE,2,10
SV,2,7
UA,2,68
VE,2,28
AD,1,1
AE,1,1
AF,1,1
AL,1,3
AM,1,3
AO,1,1
AT,1,10
AZ,1,10
BD,1,10
BE,1,8
BG,1,8
BH,1,1
BI,1,1
BJ,1,3
BN,1,1
BW,1,1
BY,1,10
CD,1,4
CG,1,1
CH,1,17
CI,1,1
CM,1,4
CV,1,2
CY,1,3
CZ,1,16
DJ,1,1
DO,1,5
DZ,1,3
EE,1,3
EG,1,8
ET,1,7
FI,1,8
GE,1,10
GH,1,9
GR,1,8
GT,1,4
GY,1,1
HK,1,5
HN,1,5
HR,1,1
IE,1,5
IL,1,5
IN,1,104
IQ,1,9
IR,1,33
IS,1,2
JO,1,6
JP,1,34
KE,1,11
KG,1,7
KH,1,2
KP,1,1
KW,1,1
LA,1,1
LB,1,3
LK,1,3
LT,1,8
LU,1,1
LV,1,4
LY,1,1
MA,1,3
MD,1,3
MG,1,1
MK,1,2
MM,1,1
