country_code,h3,institution_count
US,32,3133
DE,22,401
GB,22,448
IT,21,215
FR,20,313
CN,19,1407
CA,18,226
AU,16,118
JP,16,821
NL,15,91
BR,14,665
ES,14,178
KR,13,295
SE,13,52
AT,12,74
BE,12,61
PL,12,202
CH,11,78
IL,11,53
GR,10,71
IN,10,1429
IR,10,367
TR,10,292
TW,10,173
CZ,9,50
DK,9,38
EG,9,98
FI,9,44
HU,9,51
AR,8,118
CL,8,81
IE,8,36
MX,8,281
NO,8,42
PT,8,105
RU,8,500
SA,8,85
TH,8,123
ZA,8,51
HK,7,16
MY,7,107
NG,7,197
NZ,7,36
PK,7,249
SG,7,41
TN,7,35
AE,6,54
CO,6,197
ID,6,342
LB,6,34
RO,6,79
SK,6,31
BG,5,42
CY,5,29
ET,5,57
GH,5,33
HR,5,36
JO,5,38
LT,5,20
MA,5,49
PE,5,98
PR,5,41
RS,5,22
SI,5,24
BA,4,21
BD,4,130
CD,4,29
CM,4,25
DZ,4,72
EC,4,75
EE,4,13
IQ,4,97
JM,4,7
KE,4,48
KZ,4,50
LK,4,28
LV,4,25
MK,4,13
NP,4,27
PH,4,124
PY,4,20
QA,4,18
TZ,4,31
UA,4,169
VE,4,38
VN,4,117
AL,3,23
AM,3,10
BJ,3,8
BO,3,38
BY,3,33
CI,3,12
CR,3,22
CU,3,39
GA,3,8
GE,3,21
IS,3,8
KH,3,13
KW,3,8
LY,3,17
ML,3,5
