country_code,h3,institution_count
IT,9,90
CN,8,563
ID,7,322
US,7,637
CA,6,62
DE,6,131
GB,6,123
RU,6,316
AU,5,41
ES,5,64
MY,5,47
PL,5,60
BE,4,13
BR,4,120
CH,4,23
DK,4,13
FR,4,113
GR,4,29
NL,4,27
NO,4,13
SE,4,20
TR,4,91
TW,4,58
AT,3,22
FI,3,12
HK,3,7
IE,3,11
IQ,3,26
JP,3,138
KR,3,78
MA,3,18
NZ,3,12
PT,3,35
RO,3,27
SA,3,14
SK,3,14
TH,3,26
UA,3,72
VN,3,51
ZA,3,16
AE,2,14
AL,2,10
AZ,2,17
BD,2,15
BG,2,14
BN,2,3
CO,2,33
CY,2,6
CZ,2,20
EC,2,27
EG,2,31
GE,2,10
HU,2,15
IL,2,15
IN,2,155
IR,2,51
KZ,2,27
LT,2,8
MN,2,9
MO,2,4
MX,2,40
NG,2,49
PE,2,26
PG,2,3
PH,2,22
PK,2,29
RS,2,6
SG,2,12
SI,2,7
TJ,2,3
TZ,2,8
AF,1,2
AM,1,2
AO,1,2
AR,1,19
BA,1,5
BF,1,1
BH,1,1
BI,1,1
BJ,1,1
BO,1,7
BT,1,1
BW,1,1
BY,1,8
CD,1,5
CF,1,1
CG,1,1
CI,1,2
CL,1,19
CM,1,9
CR,1,5
CU,1,5
CV,1,1
DO,1,2
DZ,1,13
EE,1,7
ET,1,5
FJ,1,2
FO,1,1
GA,1,1
GH,1,5
