country_code,h3,institution_count
US,13,1095
FR,10,114
GB,10,148
DE,9,135
CA,8,76
CN,8,559
ES,8,70
IT,8,63
JP,8,288
IL,7,25
NL,7,22
PL,7,61
BR,6,124
CH,6,28
IN,6,492
KR,6,106
RU,6,196
AU,5,34
BE,5,18
IR,5,144
MX,5,67
PK,5,77
RO,5,33
SA,5,34
SE,5,20
TR,5,125
AT,4,30
CL,4,26
CZ,4,18
GR,4,17
HU,4,18
IE,4,13
MA,4,19
NO,4,14
PT,4,19
RS,4,11
TW,4,45
ZA,4,21
AR,3,22
BG,3,17
CO,3,43
DK,3,11
DZ,3,43
EG,3,28
FI,3,11
HK,3,7
HR,3,10
IQ,3,31
JO,3,20
MY,3,24
NG,3,53
NZ,3,8
SI,3,5
TH,3,43
TN,3,13
UA,3,46
VN,3,47
AE,2,15
AL,2,9
AM,2,5
AZ,2,5
BA,2,4
BW,2,2
BY,2,12
CM,2,6
EE,2,3
ET,2,12
GE,2,11
ID,2,53
JM,2,4
KW,2,4
KZ,2,20
LB,2,9
LY,2,10
MK,2,8
MN,2,5
NP,2,7
OM,2,8
PE,2,16
PH,2,28
SG,2,8
SK,2,13
SY,2,5
UZ,2,19
VE,2,10
YE,2,9
ZW,2,3
AF,1,2
AW,1,1
BB,1,1
BD,1,20
BF,1,1
BH,1,3
BI,1,2
BJ,1,1
BN,1,1
BO,1,5
BS,1,1
BT,1,1
CD,1,2
CG,1,1
