country_code,h3,institution_count
US,13,844
GB,10,142
AU,9,52
CA,9,70
FR,8,83
CN,7,356
ES,7,85
IT,7,65
NL,7,32
CH,6,21
DE,6,84
MY,6,40
SA,6,37
BE,5,16
BR,5,168
IE,5,13
IN,5,400
IR,5,89
JP,5,206
SE,5,20
TW,5,57
AE,4,16
AT,4,12
DK,4,13
ET,4,27
FI,4,21
IL,4,11
JO,4,17
KR,4,83
NG,4,50
NO,4,15
PL,4,41
SG,4,12
TH,4,27
TR,4,87
VN,4,31
AR,3,23
CL,3,27
EG,3,36
GH,3,12
HK,3,7
HR,3,8
ID,3,87
LB,3,11
MX,3,59
NZ,3,12
PK,3,84
PT,3,32
QA,3,5
RO,3,15
SD,3,13
ZA,3,18
BA,2,6
BD,2,27
BG,2,8
CO,2,50
CR,2,10
CU,2,9
CY,2,6
CZ,2,12
DZ,2,15
EC,2,19
GE,2,3
GR,2,21
HU,2,7
IQ,2,30
IS,2,3
KW,2,3
LK,2,14
LT,2,7
LY,2,6
MA,2,13
MK,2,3
MN,2,3
NP,2,15
OM,2,6
PE,2,25
PH,2,24
PR,2,12
PS,2,8
RS,2,6
RU,2,50
SI,2,7
SK,2,9
UA,2,11
VE,2,3
XK,2,3
YE,2,13
AD,1,1
AF,1,2
AG,1,2
AL,1,5
AM,1,1
AO,1,1
AW,1,1
AZ,1,1
BB,1,1
BF,1,2
BH,1,4
BJ,1,3
BN,1,1
