country_code,h3,institution_count
US,14,854
DE,10,167
CN,9,587
FR,9,129
ES,8,63
GB,8,127
IT,8,64
CA,7,78
JP,7,233
KR,7,126
BR,6,138
GR,6,24
IN,6,534
NL,6,23
SE,6,27
TW,6,89
AT,5,22
AU,5,40
BE,5,16
CH,5,29
DK,5,8
FI,5,14
PT,5,30
EG,4,37
HK,4,8
IE,4,14
IL,4,16
IR,4,82
PK,4,67
PL,4,43
RO,4,29
RU,4,106
SA,4,30
TN,4,14
AE,3,17
AR,3,25
CO,3,30
CZ,3,15
DZ,3,32
HU,3,17
ID,3,94
LB,3,12
MX,3,48
MY,3,39
NO,3,11
NZ,3,11
RS,3,7
SG,3,13
TR,3,62
UA,3,36
VN,3,36
AM,2,6
BA,2,4
BD,2,33
BG,2,14
BO,2,3
CL,2,14
CR,2,6
CY,2,8
EC,2,18
EE,2,4
HR,2,9
IQ,2,30
JO,2,14
KW,2,4
LK,2,10
LT,2,4
LY,2,5
MA,2,17
ME,2,2
MO,2,3
NP,2,5
PH,2,20
PR,2,3
PS,2,5
QA,2,5
SI,2,8
SK,2,9
TH,2,30
UY,2,4
VE,2,8
ZA,2,15
AF,1,1
AL,1,4
AZ,1,3
BF,1,3
BH,1,3
BI,1,2
BJ,1,1
BN,1,1
BW,1,1
BY,1,9
CI,1,1
CM,1,5
CU,1,6
DO,1,1
ET,1,11
FJ,1,2
FM,1,1
GA,1,1
GE,1,2
