country_code,h3,institution_count
US,14,1612
AU,11,72
GB,11,201
CA,10,136
CN,7,427
ES,7,84
IT,7,82
NL,7,34
BR,6,355
IL,6,29
NZ,6,20
SE,6,30
CH,5,30
DE,5,128
FI,5,18
FR,5,76
IE,5,15
IN,5,483
IR,5,175
NO,5,21
ZA,5,23
AR,4,64
BE,4,15
CL,4,46
CO,4,98
ET,4,32
JP,4,193
KR,4,90
MY,4,47
NG,4,98
PK,4,102
PL,4,59
PT,4,60
SA,4,36
TW,4,71
AE,3,20
AT,3,24
BD,3,53
CI,3,6
CM,3,13
CR,3,16
CZ,3,14
DK,3,13
EG,3,30
GH,3,23
GR,3,25
HK,3,10
HR,3,13
ID,3,208
JO,3,15
KE,3,36
LK,3,11
MX,3,100
NP,3,13
PE,3,58
PH,3,78
RU,3,274
SG,3,14
TH,3,53
TR,3,146
UG,3,23
VN,3,45
AF,2,7
AL,2,10
BA,2,9
BG,2,13
BH,2,3
BJ,2,3
BO,2,15
CD,2,21
CU,2,18
CY,2,9
DZ,2,11
EC,2,40
EE,2,4
FJ,2,2
GE,2,8
GM,2,2
GN,2,4
HU,2,20
IQ,2,32
IS,2,3
JM,2,5
KH,2,6
KZ,2,21
LB,2,11
LT,2,12
LV,2,7
MA,2,15
MD,2,5
MN,2,6
MW,2,6
MZ,2,8
PR,2,13
PS,2,10
RO,2,28
RS,2,8
RW,2,6
SD,2,18
SI,2,7
SK,2,10
