country_code,h3,institution_count
US,10,1068
AU,7,54
BR,6,371
CA,6,87
GB,6,176
IN,6,730
DE,5,114
IR,5,153
BD,4,81
CN,4,376
FI,4,18
KR,4,166
NL,4,35
NO,4,17
SA,4,38
SE,4,24
TW,4,69
AT,3,20
BE,3,15
CH,3,21
DK,3,14
EG,3,47
ES,3,64
ET,3,35
FR,3,58
GH,3,23
GR,3,26
ID,3,445
IE,3,16
IQ,3,46
IT,3,57
JO,3,18
JP,3,178
MA,3,24
MY,3,56
NG,3,107
NZ,3,12
PT,3,47
TR,3,114
ZA,3,25
AE,2,24
AR,2,21
BA,2,7
BH,2,7
CL,2,20
CM,2,10
CO,2,53
CY,2,10
DZ,2,28
EE,2,4
HK,2,8
IL,2,15
KE,2,29
KW,2,6
KZ,2,19
LK,2,16
LY,2,9
MK,2,7
MT,2,2
MX,2,66
NP,2,16
PE,2,40
PH,2,73
PK,2,104
PS,2,9
QA,2,3
RO,2,25
RS,2,6
RU,2,66
SD,2,26
SG,2,14
SI,2,10
SO,2,8
TH,2,51
TZ,2,18
UY,2,4
VN,2,33
YE,2,14
ZM,2,3
AF,1,4
AG,1,2
AL,1,7
AM,1,4
AO,1,3
AZ,1,4
BB,1,1
BF,1,2
BG,1,10
BI,1,2
BJ,1,4
BN,1,3
BO,1,7
BS,1,1
BT,1,1
BW,1,2
BY,1,6
CD,1,7
CG,1,1
CI,1,5
CR,1,5
CU,1,16
