country_code,h3,institution_count
US,22,1715
CN,20,921
CA,16,133
IT,15,101
GB,14,221
DE,13,214
AU,12,56
BR,12,305
ES,12,103
FR,12,186
JP,12,444
KR,11,190
PL,10,112
SE,10,33
IN,9,795
NL,9,50
TW,9,123
AR,8,66
BE,8,28
FI,8,29
GR,8,41
IR,8,226
MX,8,177
PT,8,63
TR,8,172
ZA,8,32
AT,7,40
CH,7,36
EG,7,56
HK,7,12
NG,7,124
NO,7,27
CL,6,50
CO,6,134
CZ,6,30
DK,6,22
HU,6,24
IE,6,20
IL,6,25
MY,6,62
NZ,6,18
PK,6,131
TH,6,87
BD,5,76
LT,5,19
MA,5,28
RO,5,45
RS,5,16
RU,5,241
SA,5,45
SK,5,21
TN,5,19
VN,5,84
AE,4,26
BG,4,21
CY,4,18
DZ,4,47
EC,4,49
EE,4,8
ET,4,34
GH,4,25
ID,4,186
IQ,4,49
LB,4,11
MN,4,10
PE,4,78
PR,4,20
UA,4,80
VE,4,18
AL,3,14
CR,3,18
CU,3,22
HR,3,20
JO,3,17
KE,3,32
KW,3,6
KZ,3,38
LK,3,17
LV,3,11
MO,3,4
NP,3,16
PH,3,88
SG,3,19
SI,3,14
TZ,3,17
UG,3,14
UY,3,7
AM,2,8
BA,2,10
BF,2,4
BH,2,7
BJ,2,5
BO,2,22
CD,2,15
CI,2,9
CM,2,12
DO,2,9
FJ,2,3
GE,2,10
GT,2,7
IS,2,5
