country_code,h3,institution_count
US,25,1249
IT,19,101
DE,18,189
CN,17,616
FR,17,161
GB,16,186
JP,16,413
CA,13,91
ES,13,88
AU,11,56
KR,10,113
NL,10,44
TR,10,142
AT,9,37
BR,9,304
PL,9,98
BE,8,23
CH,8,32
IN,8,636
SE,8,27
TW,8,78
EG,7,45
GR,7,28
IL,7,25
IR,7,149
MX,6,123
SA,6,45
TH,6,48
DK,5,14
FI,5,16
IE,5,15
NG,5,82
PK,5,113
PT,5,45
RO,5,29
RU,5,165
SG,5,20
TN,5,16
ZA,5,21
AE,4,20
AR,4,57
BD,4,61
BG,4,17
CL,4,38
CO,4,76
CZ,4,28
HK,4,10
HU,4,21
ID,4,133
LB,4,13
MA,4,25
MY,4,46
NO,4,19
NZ,4,14
VE,4,17
CD,3,17
CI,3,6
CM,3,10
DZ,3,32
EC,3,33
ET,3,32
GH,3,25
HR,3,18
IQ,3,47
JO,3,16
KE,3,19
LK,3,13
LT,3,4
NP,3,15
OM,3,9
PE,3,45
PH,3,41
QA,3,7
RS,3,10
SD,3,31
SK,3,13
UA,3,44
UG,3,8
VN,3,30
AF,2,5
AG,2,3
AM,2,5
AZ,2,3
BA,2,8
BH,2,5
BJ,2,4
BO,2,10
BY,2,10
CR,2,8
CU,2,18
CY,2,10
EE,2,5
GE,2,11
HN,2,3
IS,2,2
JM,2,4
KH,2,10
KW,2,4
KZ,2,14
LV,2,9
LY,2,11
