country_code,h3,institution_count
US,19,871
IT,17,88
JP,17,397
CN,16,622
DE,15,138
FR,13,115
GB,12,141
ES,11,76
KR,10,123
CA,9,74
EG,9,51
TW,9,90
AU,8,47
BR,8,231
IN,8,507
NL,8,29
TR,8,132
BE,7,15
CH,7,25
PL,7,56
AR,6,43
AT,6,24
GR,6,22
IR,6,119
SE,6,14
CL,5,29
HK,5,9
IL,5,13
PK,5,126
RO,5,27
SA,5,43
DK,4,11
HU,4,16
IE,4,9
MX,4,101
NP,4,14
PT,4,38
RU,4,112
TH,4,32
TN,4,13
ZA,4,15
BD,3,50
BG,3,12
CO,3,59
CU,3,16
CZ,3,14
FI,3,8
HR,3,13
ID,3,90
IQ,3,36
LT,3,5
MA,3,17
MY,3,37
NG,3,84
NO,3,12
NZ,3,7
PE,3,32
PS,3,10
RS,3,7
SG,3,16
SK,3,9
UY,3,7
VE,3,15
VN,3,40
AE,2,14
AL,2,6
BA,2,6
BF,2,2
BH,2,5
BO,2,10
BY,2,6
BZ,2,3
CD,2,13
CF,2,2
CM,2,12
CR,2,7
CY,2,9
DZ,2,17
EC,2,31
EE,2,5
ET,2,31
GE,2,12
GH,2,15
IS,2,2
JO,2,10
KE,2,12
KZ,2,14
LB,2,8
LK,2,10
LV,2,5
LY,2,10
MK,2,5
MM,2,11
MN,2,7
MO,2,3
OM,2,3
PH,2,35
PR,2,11
PY,2,9
QA,2,4
RW,2,4
