country_code,h3,institution_count
US,9,1180
GB,8,194
CA,7,112
DE,6,187
FR,6,195
NL,6,26
AU,5,46
IT,5,76
AT,4,31
BE,4,21
CH,4,29
ES,4,59
SE,4,16
AR,3,21
BR,3,107
IE,3,12
IL,3,20
MX,3,38
NO,3,14
PL,3,48
ZA,3,16
AE,2,8
CL,2,20
CN,2,120
CO,2,30
CZ,2,15
DK,2,13
EE,2,4
FI,2,12
GH,2,9
GR,2,16
HK,2,8
HR,2,6
HU,2,15
ID,2,69
IN,2,119
JP,2,89
KR,2,27
NG,2,41
NZ,2,14
PT,2,18
RO,2,22
RS,2,6
RU,2,139
SG,2,10
SI,2,5
SK,2,7
TR,2,44
TW,2,23
UA,2,62
AD,1,1
AF,1,1
AM,1,2
AZ,1,1
BA,1,4
BD,1,11
BF,1,1
BG,1,7
BH,1,1
BI,1,2
BJ,1,3
BO,1,6
BW,1,1
BY,1,4
BZ,1,1
CD,1,3
CG,1,1
CI,1,1
CM,1,3
CR,1,9
CU,1,6
CY,1,4
DO,1,2
DZ,1,10
EC,1,8
EG,1,12
ET,1,2
GD,1,1
GE,1,2
GF,1,1
GL,1,1
GM,1,1
GP,1,1
GT,1,1
HN,1,2
HT,1,2
IQ,1,4
IR,1,30
IS,1,2
JM,1,3
JO,1,4
KE,1,4
KG,1,1
KH,1,2
KP,1,1
KZ,1,9
LB,1,4
LC,1,1
LI,1,2
LK,1,2
LT,1,5
