country_code,h3,institution_count
BR,4,72
CI,3,5
GH,3,14
ID,3,63
MX,3,38
US,3,84
AU,2,9
BE,2,7
BO,2,5
CM,2,9
CN,2,61
CO,2,42
CR,2,7
DE,2,19
EC,2,29
FR,2,25
GB,2,27
IN,2,31
NG,2,39
NI,2,6
NL,2,6
PE,2,26
PG,2,2
TT,2,2
VE,2,8
AO,1,1
AR,1,8
AT,1,1
BD,1,3
BF,1,2
BJ,1,2
BW,1,1
BZ,1,1
CA,1,11
CD,1,6
CF,1,1
CG,1,1
CH,1,3
CL,1,6
CU,1,6
CZ,1,3
DK,1,2
DO,1,4
DZ,1,1
EE,1,1
EG,1,2
ES,1,13
ET,1,6
FI,1,1
GR,1,1
GT,1,2
GU,1,1
HK,1,2
HN,1,3
HR,1,1
HT,1,2
HU,1,1
IE,1,2
IL,1,2
IQ,1,2
IR,1,5
IT,1,10
JM,1,2
JO,1,1
JP,1,25
KE,1,4
KR,1,7
LA,1,1
LB,1,1
LK,1,4
LS,1,1
MA,1,1
MG,1,4
ML,1,1
MM,1,1
MW,1,1
MY,1,10
NE,1,1
NO,1,1
NP,1,2
NZ,1,2
PA,1,2
PH,1,12
PK,1,5
PL,1,3
PR,1,3
PT,1,5
PY,1,3
RU,1,1
SA,1,3
SB,1,1
SE,1,3
SL,1,1
SN,1,3
SV,1,1
TG,1,3
TH,1,10
TR,1,3
TW,1,7
TZ,1,3
UG,1,3
