country_code,h3,institution_count
US,12,935
GB,10,162
DE,9,222
AU,8,45
SE,8,34
FI,7,30
FR,7,148
AT,6,36
CA,6,91
CH,6,41
CN,6,600
DK,6,20
ES,6,74
IT,6,77
JP,6,331
KR,6,145
NL,6,42
BE,5,27
BR,5,187
GR,5,29
NZ,5,15
PL,5,60
PT,5,51
TW,5,98
HK,4,10
IE,4,17
IL,4,22
IN,4,506
MY,4,64
NO,4,16
RO,4,35
AE,3,25
BD,3,56
CL,3,26
CO,3,58
CZ,3,20
EC,3,37
EG,3,45
HU,3,20
ID,3,192
IQ,3,36
LT,3,11
MA,3,19
MX,3,85
PK,3,95
RU,3,143
SA,3,34
SG,3,18
SI,3,13
TH,3,57
TN,3,18
TR,3,143
ZA,3,22
AR,2,25
BG,2,15
CR,2,8
CY,2,14
DZ,2,27
EE,2,5
HR,2,16
IR,2,85
IS,2,2
JO,2,20
KZ,2,23
LB,2,16
LK,2,14
LV,2,12
MO,2,5
MT,2,2
NG,2,63
PE,2,36
PH,2,64
QA,2,7
RS,2,8
SK,2,10
TT,2,3
UA,2,42
VN,2,37
AL,1,7
AM,1,4
AZ,1,7
BA,1,6
BB,1,2
BF,1,1
BH,1,4
BI,1,1
BJ,1,1
BN,1,2
BO,1,4
BS,1,1
BT,1,1
BW,1,3
BY,1,4
CD,1,2
CI,1,3
CM,1,5
CU,1,2
CW,1,1
DO,1,3
ET,1,9
FJ,1,2
