country_code,h3,institution_count
ID,5,448
US,5,386
BR,3,84
ES,3,29
GB,3,103
AU,2,36
CA,2,47
DE,2,42
DK,2,15
EC,2,11
FI,2,14
FR,2,23
GR,2,11
IN,2,98
IT,2,23
JP,2,40
MX,2,17
MY,2,56
NL,2,24
NO,2,15
PK,2,40
PT,2,14
SE,2,13
TH,2,29
TW,2,22
ZA,2,25
AE,1,7
AF,1,3
AM,1,1
AR,1,5
AT,1,8
AZ,1,1
BA,1,1
BD,1,9
BE,1,3
BG,1,7
BH,1,2
BJ,1,1
BN,1,1
BW,1,1
CD,1,1
CH,1,15
CI,1,1
CL,1,6
CM,1,4
CN,1,56
CO,1,18
CR,1,3
CU,1,3
CY,1,7
CZ,1,2
DJ,1,1
DO,1,1
DZ,1,3
EE,1,2
EG,1,12
ET,1,9
GH,1,15
GL,1,1
HK,1,7
HR,1,4
HU,1,6
IE,1,7
IL,1,6
IQ,1,12
IR,1,47
IS,1,1
JO,1,13
KE,1,17
KH,1,2
KR,1,18
KW,1,4
KZ,1,7
LB,1,3
LK,1,7
LT,1,4
LU,1,1
LV,1,1
LY,1,2
MA,1,7
MG,1,1
MK,1,2
MN,1,1
MO,1,1
MT,1,1
MU,1,1
MW,1,1
MZ,1,3
,1,1
NG,1,31
NI,1,2
NP,1,4
NZ,1,10
OM,1,2
PA,1,1
PE,1,12
PH,1,56
PL,1,11
PR,1,5
PS,1,1
QA,1,3
