country_code,h3,institution_count
BR,10,425
US,8,1238
AU,7,54
MY,7,73
CA,6,94
GB,6,170
KR,6,144
TW,6,118
CN,5,608
DE,5,173
IN,5,538
JO,5,26
NL,5,44
PT,5,81
SA,5,40
TH,5,65
ZA,5,29
BD,4,68
ES,4,78
FI,4,22
GR,4,30
HK,4,11
ID,4,298
IE,4,16
NZ,4,15
PK,4,124
AE,3,30
AT,3,34
BE,3,12
CH,3,39
DK,3,14
EG,3,44
FR,3,123
GH,3,30
IL,3,26
IR,3,176
IT,3,66
JP,3,133
KE,3,40
KW,3,8
LK,3,17
MK,3,10
NG,3,99
NO,3,22
OM,3,16
PL,3,55
QA,3,12
RO,3,45
RU,3,103
SE,3,26
SG,3,20
SI,3,13
TR,3,129
TZ,3,19
VN,3,66
AL,2,13
AR,2,30
BG,2,12
BH,2,9
BN,2,4
BO,2,6
CL,2,29
CM,2,6
CO,2,67
CR,2,14
CY,2,16
CZ,2,18
EC,2,32
EE,2,7
ET,2,18
HR,2,16
HU,2,15
IQ,2,42
LB,2,16
LT,2,15
LY,2,9
MA,2,21
MO,2,4
MX,2,82
MZ,2,15
NP,2,9
PE,2,38
PH,2,105
PR,2,12
PS,2,15
RS,2,12
SK,2,13
TN,2,18
UY,2,5
UZ,2,12
VE,2,8
XK,2,4
ZW,2,9
AF,1,9
AM,1,3
AO,1,9
AW,1,1
AZ,1,8
BA,1,7
BB,1,2
BI,1,3
