country_code,h3,institution_count
US,7,351
CN,6,288
GB,6,70
FR,5,46
CA,4,39
CH,4,14
DE,4,81
ES,4,31
IT,4,38
AU,3,20
BE,3,7
CL,3,16
DK,3,6
FI,3,5
IL,3,6
JP,3,79
KR,3,37
NL,3,12
SE,3,10
AR,2,9
AT,2,10
BR,2,32
CZ,2,7
HK,2,6
IE,2,5
IN,2,62
MX,2,18
NZ,2,5
PT,2,11
RU,2,45
SG,2,3
TW,2,22
AE,1,2
AL,1,1
AM,1,1
AZ,1,2
BD,1,9
BG,1,1
BO,1,1
BT,1,1
BW,1,1
BY,1,3
CM,1,2
CO,1,12
CR,1,1
CU,1,1
DM,1,1
DZ,1,1
EC,1,2
EE,1,1
EG,1,5
GE,1,1
GH,1,1
GM,1,1
GR,1,3
HR,1,1
HU,1,4
ID,1,4
IQ,1,7
IR,1,10
JM,1,1
JO,1,1
KE,1,2
KZ,1,1
LK,1,1
LT,1,1
LU,1,1
LV,1,1
LY,1,1
MA,1,5
ME,1,1
MG,1,1
MO,1,3
MY,1,10
MZ,1,1
NG,1,6
NO,1,4
OM,1,1
PE,1,4
PH,1,1
PK,1,6
PL,1,10
PR,1,2
QA,1,1
RO,1,4
RS,1,3
SA,1,4
SD,1,1
SI,1,1
SK,1,3
SS,1,1
SY,1,1
TH,1,6
TR,1,8
TZ,1,1
UA,1,10
VE,1,1
VN,1,4
YE,1,1
ZA,1,6
