country_code,h3,institution_count
US,13,1500
DE,11,288
GB,11,202
CA,9,124
ES,9,93
FR,8,167
AU,7,46
BE,7,34
IR,7,210
IT,7,87
BR,6,295
CH,6,55
FI,6,26
HK,6,11
IE,6,15
JP,6,481
MY,6,65
NL,6,49
SE,6,31
ZA,6,27
AT,5,51
CN,5,793
DK,5,22
HR,5,32
HU,5,37
ID,5,419
IL,5,30
KR,5,153
NO,5,26
PL,5,110
SA,5,44
TH,5,95
TR,5,184
TW,5,102
AE,4,26
AR,4,58
CL,4,49
CO,4,99
CZ,4,37
GR,4,30
JO,4,26
LT,4,25
MX,4,106
NZ,4,13
PT,4,47
RO,4,62
RU,4,372
SI,4,19
VN,4,80
CR,3,13
CY,3,16
EG,3,47
ET,3,27
GH,3,27
IN,3,297
IQ,3,52
KW,3,7
KZ,3,52
MA,3,25
MK,3,12
MO,3,5
NG,3,93
OM,3,16
PE,3,42
PH,3,136
PK,3,112
PR,3,11
RS,3,15
SG,3,14
SK,3,22
UA,3,166
VE,3,25
AF,2,15
AL,2,19
AM,2,11
AZ,2,25
BA,2,11
BD,2,67
BG,2,28
BH,2,6
BI,2,2
BJ,2,5
BO,2,13
CD,2,12
CI,2,6
CM,2,10
CU,2,21
DO,2,8
DZ,2,54
EC,2,44
EE,2,10
GE,2,20
IS,2,3
KE,2,30
KG,2,18
LB,2,17
LK,2,14
LV,2,19
LY,2,10
MZ,2,6
,2,3
