country_code,h3,institution_count
AU,9,53
GB,9,198
US,9,1214
DE,8,268
NL,8,47
ZA,8,40
ID,7,504
CA,6,100
ES,6,101
PL,6,182
BR,5,394
CH,5,40
AT,4,42
BE,4,21
CL,4,55
CO,4,132
FR,4,120
IE,4,13
IL,4,22
IT,4,88
MY,4,48
NZ,4,11
PT,4,65
RU,4,345
SE,4,24
AR,3,72
CN,3,389
CZ,3,24
DK,3,12
EC,3,54
FI,3,16
HK,3,11
HU,3,21
IN,3,281
JP,3,97
LT,3,15
MX,3,144
NG,3,84
PE,3,80
BD,2,35
BO,2,22
CM,2,8
CR,2,20
CU,2,19
EE,2,6
EG,2,16
ET,2,16
GH,2,16
GR,2,16
HR,2,10
IQ,2,33
IR,2,72
JO,2,19
KE,2,27
KR,2,50
KZ,2,42
LV,2,11
MN,2,6
MT,2,3
MZ,2,5
,2,2
NI,2,12
NO,2,15
PA,2,12
PH,2,65
PK,2,59
PR,2,12
PY,2,20
RO,2,41
RS,2,13
SG,2,11
SI,2,13
SK,2,19
TH,2,37
TR,2,90
TW,2,33
UA,2,103
UY,2,7
VE,2,31
VN,2,31
ZW,2,13
AE,1,22
AF,1,3
AG,1,1
AL,1,16
AM,1,4
AO,1,6
AW,1,1
AZ,1,11
BA,1,9
BB,1,1
BF,1,3
BG,1,19
BH,1,2
BI,1,4
BJ,1,3
BM,1,1
BN,1,3
BS,1,2
BT,1,1
BW,1,5
