country_code,h3,institution_count
KR,7,221
EG,3,25
CN,2,122
GB,2,12
IR,2,107
JP,2,159
SA,2,14
TR,2,59
TW,2,25
US,2,267
AE,1,4
AF,1,1
AG,1,1
AU,1,9
BD,1,4
BE,1,2
BH,1,1
BR,1,14
BY,1,1
CA,1,16
CL,1,2
CO,1,1
CU,1,1
CW,1,1
CY,1,6
CZ,1,1
DE,1,2
EC,1,1
ES,1,5
ET,1,1
FI,1,1
FR,1,1
GH,1,2
GR,1,3
HK,1,4
HR,1,1
ID,1,65
IE,1,1
IL,1,5
IN,1,30
IQ,1,4
IT,1,10
JO,1,7
KE,1,1
KH,1,3
KW,1,1
KZ,1,2
LB,1,1
LK,1,3
LV,1,1
MA,1,2
MD,1,1
MM,1,2
MN,1,2
MO,1,2
MX,1,2
MY,1,13
NG,1,4
NL,1,3
NO,1,1
NP,1,1
NZ,1,1
OM,1,1
PE,1,1
PH,1,33
PK,1,22
PL,1,1
PS,1,1
PT,1,1
RO,1,2
RS,1,1
RU,1,5
SD,1,2
SE,1,2
SG,1,1
SI,1,1
SK,1,1
SN,1,1
TH,1,16
TN,1,1
UG,1,1
VN,1,4
ZA,1,3
