country_code,h3,institution_count
US,9,849
AU,7,42
CA,7,97
GB,7,125
FR,6,142
NL,6,24
CH,5,25
DE,5,85
PL,5,142
SE,5,16
ZA,5,26
BE,4,23
ES,4,75
FI,4,16
HK,4,9
NZ,4,13
AT,3,13
CL,3,37
CN,3,254
GR,3,16
IE,3,9
IL,3,15
JP,3,118
KE,3,30
MX,3,59
MY,3,34
NG,3,70
NO,3,16
PH,3,82
TH,3,38
AE,2,15
AR,2,42
BD,2,30
BI,2,2
BR,2,92
BS,2,2
CI,2,6
CM,2,8
CO,2,74
CR,2,10
CY,2,10
CZ,2,13
DK,2,6
DZ,2,41
EC,2,25
EE,2,3
EG,2,13
GH,2,16
HU,2,14
ID,2,109
IN,2,91
IR,2,59
IT,2,46
JM,2,3
JO,2,17
KR,2,37
KW,2,3
KZ,2,11
LB,2,10
LK,2,8
LT,2,4
MA,2,14
MO,2,4
MU,2,2
MZ,2,5
,2,2
OM,2,4
PE,2,24
PK,2,72
PR,2,6
PT,2,25
RU,2,61
SA,2,30
SG,2,6
TR,2,52
TW,2,39
TZ,2,16
UG,2,6
VE,2,17
ZW,2,8
AD,1,1
AF,1,2
AL,1,4
AM,1,1
AO,1,2
AW,1,1
AZ,1,5
BA,1,4
BB,1,2
BF,1,4
BG,1,8
BH,1,2
BJ,1,4
BM,1,1
BN,1,2
BO,1,8
BT,1,1
BW,1,4
BY,1,4
BZ,1,1
CD,1,7
