country_code,h3,institution_count
US,13,2095
GB,11,275
DE,9,297
AU,8,64
CA,8,167
ES,8,109
BR,7,379
FR,6,185
HK,6,11
IT,6,105
NL,6,44
AT,5,53
BE,5,31
CH,5,54
CL,5,59
CN,5,631
FI,5,23
IE,5,18
MX,5,155
NZ,5,19
PT,5,72
SE,5,35
ZA,5,33
AR,4,68
CO,4,119
DK,4,22
EC,4,48
IL,4,36
IR,4,170
JP,4,308
MY,4,52
NG,4,114
NO,4,31
PL,4,92
RU,4,256
TR,4,187
AE,3,28
CR,3,15
CY,3,18
GH,3,32
GR,3,30
HR,3,19
HU,3,28
ID,3,291
IN,3,484
IQ,3,47
KR,3,103
LT,3,15
MO,3,5
OM,3,18
PE,3,60
PH,3,121
PK,3,126
PR,3,19
RO,3,55
RS,3,12
SA,3,38
SG,3,20
SI,3,14
TH,3,80
TW,3,92
VN,3,77
AL,2,16
AZ,2,17
BA,2,12
BD,2,67
BG,2,20
BH,2,6
BI,2,3
BN,2,3
BO,2,21
BW,2,3
CM,2,9
CU,2,22
CZ,2,27
DZ,2,47
EE,2,8
EG,2,48
ET,2,19
GE,2,15
JM,2,3
JO,2,25
KE,2,35
KW,2,6
KZ,2,42
LB,2,13
LK,2,15
LV,2,11
MA,2,27
MK,2,11
MN,2,6
MT,2,2
MZ,2,11
,2,3
NI,2,13
NP,2,12
PA,2,11
PS,2,12
PY,2,14
QA,2,9
RW,2,2
