country_code,h3,institution_count
IT,11,105
CN,10,730
US,10,1489
BR,9,420
GB,9,212
AU,8,59
CA,8,109
DE,7,169
ES,7,93
FR,7,169
ID,7,462
NL,7,41
SE,7,31
BE,6,23
CH,6,44
ET,6,35
GR,6,39
KR,6,152
TW,6,96
ZA,6,30
AT,5,33
IN,5,574
IR,5,166
JP,5,305
MX,5,172
MY,5,58
NO,5,23
NZ,5,16
PL,5,129
PT,5,84
RU,5,438
TR,5,153
UA,5,199
CL,4,52
CZ,4,29
DK,4,19
EG,4,54
FI,4,21
HK,4,9
IE,4,14
IL,4,23
KE,4,43
MN,4,15
NG,4,121
RO,4,57
SK,4,23
AR,3,66
BD,3,64
BG,3,32
CM,3,17
CO,3,128
DZ,3,51
EC,3,59
EE,3,7
GH,3,23
HU,3,23
IQ,3,49
KZ,3,59
LT,3,15
LV,3,16
MA,3,30
NP,3,13
PE,3,69
PH,3,128
PK,3,109
PR,3,16
SA,3,37
SI,3,18
TH,3,69
TZ,3,26
UG,3,16
VN,3,85
AE,2,24
AL,2,14
AZ,2,17
BA,2,12
BJ,2,4
BO,2,21
BT,2,3
BW,2,5
BY,2,21
CD,2,17
CI,2,5
CR,2,20
CU,2,23
CY,2,15
DO,2,13
FJ,2,3
GE,2,17
GT,2,5
HR,2,13
IS,2,6
JM,2,5
JO,2,23
KG,2,20
KH,2,10
KW,2,5
LB,2,16
LK,2,18
MD,2,13
MG,2,6
