country_code,h3,institution_count
GB,8,179
US,8,1167
AU,7,54
CA,7,99
DE,7,282
DK,7,21
NL,7,48
SE,7,32
ES,6,88
FI,6,34
MY,6,68
RU,6,413
ZA,6,33
BE,5,26
BR,5,239
CH,5,43
CN,5,650
FR,5,166
IN,5,600
IT,5,88
NO,5,19
PT,5,59
AT,4,50
GH,4,31
GR,4,33
ID,4,342
IE,4,18
IR,4,156
KR,4,103
NG,4,114
NZ,4,17
PK,4,119
RO,4,49
SI,4,19
TW,4,90
UA,4,179
BD,3,56
CL,3,36
CO,3,86
CZ,3,29
EE,3,10
EG,3,40
HK,3,9
HR,3,15
HU,3,24
IL,3,28
JP,3,162
KE,3,36
KZ,3,48
LT,3,19
LV,3,22
MA,3,37
MK,3,7
MX,3,93
PH,3,103
PL,3,76
RS,3,13
SA,3,37
SG,3,18
TH,3,67
TR,3,148
TZ,3,21
VN,3,56
AE,2,28
AL,2,15
AR,2,31
AZ,2,15
BA,2,9
BG,2,28
BH,2,6
BW,2,4
BY,2,16
CD,2,12
CM,2,13
CY,2,17
DZ,2,33
EC,2,38
ET,2,28
GE,2,7
IQ,2,35
JO,2,22
KG,2,13
KW,2,5
LB,2,11
LK,2,17
MD,2,5
MO,2,5
MT,2,3
MZ,2,4
NP,2,13
OM,2,17
PE,2,41
QA,2,7
SK,2,20
SN,2,5
TN,2,20
UG,2,22
UZ,2,40
XK,2,3
YE,2,6
ZM,2,9
