country_code,h3,institution_count
US,13,893
FR,10,135
GB,9,102
CN,8,549
DE,8,118
IT,8,70
JP,8,252
BR,7,116
CA,7,68
ES,7,65
IL,7,16
PL,7,62
AU,6,33
NL,6,24
RU,6,231
SE,6,20
AT,5,23
CH,5,21
DK,5,7
IN,5,251
KR,5,88
PT,5,21
AR,4,25
BE,4,14
CL,4,30
CO,4,40
CZ,4,14
FI,4,13
GR,4,25
HK,4,8
IR,4,99
MA,4,19
MX,4,56
NO,4,11
TN,4,18
TR,4,101
TW,4,50
UA,4,82
ZA,4,21
AZ,3,13
DZ,3,37
EG,3,20
GE,3,8
HU,3,14
IE,3,10
KZ,3,28
NZ,3,7
RO,3,27
RS,3,6
SA,3,28
UZ,3,39
VN,3,50
AE,2,12
AM,2,6
BA,2,5
BD,2,18
BG,2,13
BY,2,11
CR,2,3
EC,2,14
EE,2,4
HR,2,7
IQ,2,25
JO,2,8
KW,2,5
LB,2,7
LT,2,6
MK,2,6
MY,2,19
NG,2,29
PK,2,29
PR,2,6
PS,2,6
SG,2,7
SI,2,4
SK,2,9
TH,2,24
VE,2,11
AL,1,6
BB,1,2
BF,1,3
BH,1,1
BI,1,2
BJ,1,1
BN,1,1
BO,1,4
BS,1,1
BW,1,2
CD,1,2
CF,1,1
CG,1,1
CI,1,2
CM,1,7
CU,1,2
CY,1,4
DJ,1,1
DO,1,2
ET,1,4
FJ,1,1
FO,1,1
GA,1,1
