country_code,h3,institution_count
CN,26,1006
US,20,1866
GB,17,286
IN,16,983
CA,15,158
DE,15,297
IT,15,114
JP,15,643
KR,15,248
AU,14,59
ES,14,96
FR,14,240
IR,13,255
PL,13,166
TR,12,186
BR,11,340
RU,11,570
TW,11,130
MY,10,75
SA,10,48
CZ,9,36
EG,9,68
FI,9,36
MX,9,189
NL,9,55
SE,9,38
AT,8,50
BE,8,37
CH,8,51
DZ,8,65
ID,8,383
IQ,8,58
NG,8,129
PK,8,150
PT,8,63
RO,8,72
TH,8,104
UA,8,198
ZA,8,34
AE,7,32
AR,7,58
BD,7,85
CL,7,52
GR,7,39
HU,7,34
IL,7,28
TN,7,27
VN,7,101
IE,6,22
JO,6,26
KZ,6,63
MA,6,41
NO,6,32
SK,6,24
BG,5,38
CO,5,105
DK,5,23
ET,5,35
HK,5,11
HR,5,23
NZ,5,20
RS,5,16
SG,5,30
UZ,5,48
BA,4,14
BY,4,33
CY,4,21
EC,4,50
GH,4,26
KE,4,31
KW,4,7
LB,4,18
LT,4,22
OM,4,19
PE,4,58
SI,4,28
AZ,3,24
CM,3,12
CU,3,19
EE,3,11
KG,3,20
LK,3,17
LV,3,21
LY,3,13
MK,3,7
MM,3,27
MN,3,12
MO,3,5
NP,3,17
PH,3,99
PS,3,12
QA,3,9
SD,3,30
SY,3,12
TJ,3,12
VE,3,25
AF,2,14
AL,2,13
AM,2,8
AO,2,7
BF,2,5
