country_code,h3,institution_count
CN,12,781
US,10,1349
ES,7,77
AU,6,49
CA,6,98
FR,6,144
GB,6,168
IT,6,76
JP,6,242
KR,6,139
BR,5,192
DE,5,162
HK,5,9
IN,5,648
TW,5,106
AT,4,30
BE,4,20
CH,4,26
FI,4,25
GR,4,37
IE,4,17
IR,4,135
MY,4,65
NL,4,28
NZ,4,17
PL,4,53
PT,4,43
RO,4,37
RU,4,177
SE,4,27
TR,4,139
ZA,4,34
AE,3,28
AR,3,29
BD,3,71
BG,3,20
CL,3,27
CO,3,64
CZ,3,25
DK,3,14
DZ,3,42
EG,3,56
HU,3,20
ID,3,294
IL,3,24
IQ,3,45
KE,3,29
LK,3,11
MA,3,30
MX,3,86
NG,3,110
NO,3,14
PH,3,90
PK,3,96
RS,3,12
SA,3,39
SG,3,15
SK,3,14
TN,3,14
UA,3,68
AL,2,12
BA,2,7
BH,2,5
BW,2,2
CM,2,9
CR,2,6
CY,2,14
EC,2,30
EE,2,5
GH,2,24
HR,2,15
IS,2,2
JO,2,21
KH,2,3
KW,2,8
KZ,2,26
LB,2,14
LT,2,8
LV,2,10
MK,2,6
MN,2,8
MO,2,4
MU,2,4
MZ,2,8
,2,3
NP,2,10
PE,2,34
PR,2,14
PS,2,10
SD,2,15
SI,2,10
TH,2,68
TT,2,2
TZ,2,16
UG,2,12
UZ,2,25
VN,2,61
YE,2,6
ZM,2,5
ZW,2,11
AF,1,7
