country_code,h3,institution_count
BR,3,196
IT,3,42
US,3,390
AU,2,21
BA,2,7
CA,2,34
CL,2,17
CN,2,145
CO,2,78
CU,2,13
DE,2,48
EC,2,31
EG,2,20
ES,2,47
FR,2,36
GB,2,78
GR,2,10
ID,2,70
IN,2,188
IR,2,75
KR,2,24
MA,2,12
MX,2,41
NL,2,15
NZ,2,4
PE,2,19
PT,2,22
RO,2,14
RU,2,23
SA,2,23
SE,2,10
TH,2,19
TW,2,24
ZA,2,11
AE,1,12
AF,1,1
AL,1,1
AM,1,1
AO,1,2
AR,1,12
AT,1,9
BD,1,14
BE,1,5
BG,1,6
BH,1,1
BI,1,1
BJ,1,1
BN,1,1
BO,1,1
BW,1,2
CD,1,2
CH,1,7
CI,1,1
CM,1,6
CR,1,5
CY,1,3
CZ,1,5
DK,1,7
DO,1,1
DZ,1,7
EE,1,1
ET,1,8
FI,1,4
FJ,1,1
GE,1,2
GH,1,6
GT,1,2
GY,1,1
HK,1,4
HN,1,1
HR,1,7
HT,1,1
HU,1,4
IE,1,9
IL,1,6
IQ,1,11
JM,1,1
JO,1,10
JP,1,30
KE,1,7
KG,1,1
KH,1,1
KW,1,1
KY,1,1
KZ,1,4
LB,1,4
LK,1,4
LT,1,2
LV,1,4
LY,1,1
MD,1,2
ME,1,2
MG,1,1
MK,1,4
MM,1,2
MN,1,1
MU,1,1
MY,1,24
MZ,1,1
,1,1
NG,1,28
