country_code,h3,institution_count
CN,6,316
JP,5,108
BR,4,75
FR,4,53
GB,4,51
KR,4,61
US,4,211
AU,3,16
CA,3,23
DE,3,56
IN,3,120
IT,3,22
MA,3,14
TW,3,26
AE,2,5
AT,2,8
BE,2,10
CZ,2,5
DZ,2,22
EG,2,24
ES,2,23
FI,2,6
IR,2,46
LY,2,4
MX,2,31
MY,2,18
NG,2,35
NO,2,3
PL,2,12
RU,2,34
SA,2,22
SE,2,13
SG,2,2
ZA,2,6
AF,1,1
AL,1,1
AR,1,10
BA,1,2
BD,1,6
BG,1,3
BH,1,2
BN,1,1
BY,1,1
CH,1,8
CL,1,7
CM,1,1
CO,1,16
CR,1,1
CU,1,2
DK,1,2
EC,1,4
EE,1,1
ET,1,2
GH,1,2
GN,1,1
GR,1,3
HK,1,3
HR,1,3
HU,1,4
ID,1,22
IE,1,3
IL,1,4
IQ,1,16
IS,1,1
JO,1,2
KE,1,1
KP,1,1
KW,1,2
KZ,1,2
LB,1,1
LK,1,3
LT,1,1
MK,1,1
MN,1,1
MO,1,2
MT,1,1
,1,1
NL,1,4
NP,1,2
NZ,1,2
OM,1,1
PE,1,8
PH,1,3
PK,1,15
PR,1,2
PS,1,1
PT,1,7
QA,1,3
RO,1,11
RS,1,1
SD,1,2
SI,1,1
SK,1,4
SY,1,1
TH,1,8
TN,1,4
TR,1,30
UA,1,14
UZ,1,1
VE,1,4
VN,1,4
