country_code,h3,institution_count
US,13,1020
GB,12,179
CN,9,527
IT,9,74
AU,8,61
CA,8,86
DE,8,157
FR,8,113
NL,8,33
SE,8,22
BR,7,278
JP,7,255
ES,6,80
IN,6,538
PL,6,58
BE,5,22
IL,5,18
KR,5,101
MX,5,87
RU,5,116
TH,5,41
TW,5,60
ZA,5,24
AR,4,38
AT,4,24
CH,4,24
CZ,4,21
DK,4,14
ET,4,31
FI,4,15
HU,4,21
IE,4,14
IR,4,150
NG,4,84
NO,4,12
PT,4,32
TR,4,102
BD,3,42
CL,3,31
CO,3,71
EG,3,44
GR,3,14
HK,3,8
ID,3,102
KE,3,20
MY,3,34
NZ,3,11
PK,3,80
SA,3,41
SG,3,15
TN,3,13
VN,3,36
AE,2,11
BF,2,3
BG,2,15
CI,2,7
CM,2,11
CR,2,10
CU,2,21
DZ,2,15
EC,2,29
GA,2,3
GH,2,13
HR,2,9
IQ,2,37
IS,2,2
JO,2,11
KW,2,3
KZ,2,15
LB,2,8
LK,2,9
LT,2,5
MA,2,16
ML,2,3
MM,2,3
MO,2,3
NE,2,4
NP,2,12
PE,2,33
PH,2,28
PR,2,12
PS,2,9
PY,2,6
RO,2,29
RS,2,8
SD,2,28
SI,2,7
SK,2,14
SN,2,7
TT,2,3
TZ,2,13
UA,2,34
UG,2,8
VE,2,18
YE,2,8
ZW,2,3
AF,1,4
AG,1,1
AL,1,5
AM,1,2
AO,1,2
