country_code,h3,institution_count
US,9,1467
GB,8,196
AU,6,59
CA,6,94
AT,4,27
BR,4,133
DE,4,157
ES,4,73
IE,4,13
NL,4,29
NO,4,17
ZA,4,21
BE,3,17
CH,3,30
CN,3,325
DK,3,16
FI,3,16
FR,3,94
HK,3,8
IL,3,23
IT,3,64
JP,3,112
MY,3,33
NG,3,49
NZ,3,17
PT,3,30
SE,3,26
AR,2,14
CL,2,22
CO,2,41
CY,2,8
CZ,2,20
EE,2,4
GH,2,15
GR,2,16
HU,2,20
ID,2,76
IN,2,125
KE,2,17
KR,2,49
KZ,2,11
LT,2,9
MK,2,6
MX,2,45
PL,2,42
RO,2,22
RS,2,7
RU,2,105
SG,2,10
SI,2,10
TH,2,29
TR,2,97
TW,2,44
UA,2,56
AD,1,1
AE,1,6
AG,1,1
AL,1,2
AM,1,1
AO,1,1
AZ,1,4
BA,1,4
BB,1,1
BD,1,8
BG,1,7
BH,1,2
BI,1,1
BJ,1,1
BO,1,2
BS,1,1
BW,1,2
BY,1,2
BZ,1,1
CD,1,4
CG,1,1
CI,1,1
CM,1,1
CR,1,6
CU,1,5
CV,1,1
DJ,1,1
DO,1,4
DZ,1,5
EC,1,11
EG,1,13
ET,1,5
FJ,1,1
FO,1,1
GA,1,1
GD,1,1
GE,1,3
GN,1,1
GP,1,1
GT,1,1
GU,1,1
GY,1,1
HN,1,1
HR,1,8
IQ,1,5
IR,1,20
IS,1,2
