country_code,h3,institution_count
US,19,1614
BR,14,345
AU,13,61
CA,13,129
FR,12,132
GB,12,191
DE,11,212
ES,11,71
CN,10,612
AR,9,57
JP,9,560
IT,8,74
MX,8,134
SE,8,26
ZA,8,26
IN,7,461
NL,7,35
PL,7,55
BE,6,15
CH,6,37
CL,6,49
CZ,6,23
KR,6,98
NO,6,25
NZ,6,19
PT,6,48
AT,5,38
CO,5,95
EC,5,46
FI,5,24
HU,5,21
IE,5,15
IR,5,98
MY,5,33
RU,5,299
TR,5,89
TW,5,76
BD,4,39
BO,4,17
CR,4,15
DK,4,10
GR,4,28
ID,4,157
IL,4,19
NG,4,82
PE,4,52
PR,4,16
RO,4,31
RS,4,14
TH,4,52
VE,4,25
AE,3,13
BA,3,7
BW,3,5
CD,3,18
CM,3,9
CU,3,17
EE,3,6
ET,3,32
GH,3,12
HK,3,8
KE,3,25
LK,3,14
LT,3,8
LV,3,14
MA,3,17
NI,3,13
NP,3,11
PH,3,80
PK,3,60
SA,3,18
SI,3,9
SK,3,17
TN,3,13
TZ,3,14
UA,3,97
VN,3,51
ZW,3,7
AL,2,10
AZ,2,10
BG,2,10
BT,2,2
BZ,2,2
CG,2,2
CI,2,7
CY,2,10
DO,2,8
DZ,2,32
EG,2,31
FJ,2,3
GA,2,3
GT,2,5
HN,2,7
HR,2,9
IQ,2,20
IS,2,5
JM,2,3
JO,2,9
KH,2,8
KY,2,3
KZ,2,20
