country_code,h3,institution_count
US,21,978
CN,16,606
IT,15,87
JP,15,416
DE,13,132
GB,13,160
CA,12,76
FR,11,106
KR,11,117
ES,10,86
AU,9,49
BR,9,271
PL,9,84
TR,9,146
TW,9,83
BE,8,19
NL,8,35
GR,7,28
IN,7,500
IR,7,130
SE,7,24
AT,6,26
CH,6,20
EG,6,43
IE,6,11
IL,6,15
FI,5,12
MX,5,112
NG,5,73
PT,5,58
SA,5,39
SG,5,18
TH,5,48
TN,5,14
AR,4,42
CL,4,35
CO,4,71
CZ,4,18
DK,4,13
HK,4,9
HU,4,18
ID,4,109
IQ,4,40
LK,4,13
MA,4,27
MY,4,41
NO,4,16
PK,4,96
RO,4,27
RS,4,11
RU,4,94
VN,4,42
ZA,4,19
AE,3,21
BA,3,8
BD,3,62
BG,3,12
CM,3,10
ET,3,31
GH,3,9
HR,3,12
JO,3,15
LB,3,9
MN,3,4
NP,3,12
NZ,3,12
PE,3,40
SK,3,14
TZ,3,10
VE,3,12
AF,2,5
AG,2,2
AL,2,10
BH,2,4
BJ,2,3
BO,2,12
CD,2,5
CI,2,2
CR,2,9
CU,2,17
CY,2,12
DZ,2,27
EC,2,36
EE,2,5
GT,2,6
IS,2,3
JM,2,6
KE,2,12
KG,2,2
KW,2,2
KZ,2,11
LT,2,7
LY,2,10
ME,2,2
MK,2,8
MO,2,3
NE,2,3
NI,2,7
OM,2,6
PH,2,34
PR,2,11
