country_code,h3,institution_count
US,5,602
CA,4,55
DE,4,47
ES,4,67
AU,3,38
CH,3,9
GB,3,87
MX,3,58
SE,3,14
AR,2,33
AT,2,11
BR,2,62
CL,2,33
CN,2,111
CO,2,80
CU,2,15
DK,2,7
EC,2,34
EG,2,6
FI,2,8
FR,2,21
HK,2,7
IE,2,6
IL,2,13
IT,2,33
JP,2,47
NL,2,20
NZ,2,7
PE,2,26
PK,2,9
PT,2,24
SG,2,9
SI,2,5
TW,2,31
AE,1,4
AO,1,2
BB,1,1
BD,1,1
BE,1,9
BG,1,2
BH,1,1
BN,1,1
BO,1,5
BZ,1,1
CI,1,1
CR,1,7
CY,1,3
CZ,1,5
DO,1,1
DZ,1,1
EE,1,4
GD,1,1
GH,1,5
GR,1,10
GT,1,2
HN,1,5
HR,1,6
HU,1,7
ID,1,7
IN,1,61
IQ,1,4
IR,1,32
JM,1,2
JO,1,1
KE,1,1
KH,1,1
KR,1,31
KW,1,1
KZ,1,2
LB,1,3
LK,1,1
LT,1,7
LU,1,1
LV,1,2
MA,1,3
MD,1,1
ME,1,1
MK,1,1
MO,1,2
MT,1,1
MY,1,14
MZ,1,1
NG,1,3
NI,1,1
NO,1,8
NP,1,3
OM,1,1
PA,1,2
PH,1,14
PL,1,15
PR,1,5
PY,1,3
RO,1,7
RS,1,4
RU,1,16
SA,1,5
SK,1,4
SN,1,1
SS,1,1
SV,1,1
TH,1,13
