country_code,h3,institution_count
US,8,539
CN,7,567
DE,6,100
ES,6,42
IT,6,55
GB,5,90
IN,5,322
IR,5,134
RU,5,192
AT,4,16
AU,4,27
BE,4,11
BG,4,14
BR,4,77
CA,4,51
DZ,4,46
EG,4,32
FR,4,84
GR,4,23
IQ,4,41
MY,4,34
NG,4,102
NL,4,14
PK,4,71
PL,4,38
SA,4,31
TR,4,109
UA,4,75
AE,3,9
AR,3,14
CH,3,16
CZ,3,16
DK,3,5
ET,3,25
HK,3,7
HU,3,12
IE,3,9
IL,3,12
JP,3,104
KZ,3,26
MA,3,20
NO,3,8
NZ,3,6
PT,3,16
RO,3,20
RS,3,6
SE,3,10
SK,3,11
UZ,3,27
VN,3,53
ZA,3,18
AZ,2,14
BA,2,3
BD,2,27
BY,2,13
CI,2,4
CL,2,19
CO,2,15
CY,2,5
DO,2,5
EE,2,4
FI,2,11
GE,2,9
GH,2,5
ID,2,44
JO,2,17
KG,2,10
KR,2,51
KW,2,5
LB,2,5
LK,2,3
LT,2,7
LV,2,4
MN,2,5
MO,2,3
MX,2,27
NP,2,3
OM,2,2
SD,2,9
SY,2,4
TH,2,35
TJ,2,7
TN,2,9
TW,2,50
VE,2,7
YE,2,11
AF,1,4
AL,1,3
AM,1,3
BB,1,1
BF,1,4
BH,1,2
BI,1,2
BJ,1,2
BO,1,4
BW,1,2
CD,1,2
CF,1,1
CG,1,1
CM,1,4
CR,1,3
