country_code,h3,institution_count
US,19,1384
GB,14,195
CN,13,746
CA,12,115
AU,11,57
DE,11,164
FR,11,161
IT,11,90
BR,10,339
ET,10,40
IN,10,877
JP,10,510
ES,9,93
MX,9,159
NL,9,45
PL,9,100
KR,8,211
NG,8,137
SE,8,26
ZA,8,30
BE,7,26
CH,7,37
IE,7,14
IR,7,208
TH,7,99
TR,7,172
AR,6,68
BD,6,90
EG,6,56
FI,6,19
IL,6,19
MY,6,58
NZ,6,17
PK,6,140
PT,6,57
SA,6,42
SK,6,17
AT,5,32
CL,5,40
CZ,5,27
DK,5,20
GH,5,34
GR,5,30
HK,5,8
HU,5,25
ID,5,317
KE,5,47
LK,5,18
NO,5,19
NP,5,19
RO,5,37
TW,5,91
TZ,5,32
UG,5,27
BG,4,20
CM,4,17
CO,4,105
DZ,4,52
EC,4,42
HR,4,17
MA,4,26
PH,4,78
RS,4,15
RU,4,221
TN,4,18
AE,3,22
BA,3,12
CD,3,23
CI,3,10
CU,3,21
CY,3,12
GT,3,10
IQ,3,48
JM,3,5
JO,3,20
KH,3,14
KZ,3,32
LB,3,15
LT,3,10
LV,3,8
ML,3,5
MW,3,6
PE,3,66
PR,3,18
SD,3,34
SG,3,20
SO,3,17
UA,3,79
VE,3,17
VN,3,79
YE,3,16
ZM,3,13
ZW,3,11
AF,2,12
AL,2,8
AM,2,9
BF,2,6
BH,2,5
BJ,2,8
BO,2,18
BW,2,5
