country_code,h3,institution_count
US,9,1104
AU,7,51
BR,7,377
CA,7,83
SE,7,30
GB,6,178
ES,5,86
ID,5,430
NL,5,34
BE,4,21
CO,4,133
FR,4,75
IE,4,14
JP,4,200
PT,4,58
ZA,4,24
CH,3,23
CL,3,47
CN,3,198
DE,3,93
EC,3,53
FI,3,24
IL,3,17
IR,3,93
IT,3,61
MX,3,132
NO,3,20
NZ,3,11
PE,3,63
PL,3,50
TR,3,101
TW,3,55
AR,2,49
AT,2,27
BD,2,24
CR,2,13
CU,2,22
CY,2,8
CZ,2,12
DK,2,16
EG,2,31
ET,2,16
GH,2,8
GR,2,20
HK,2,8
IN,2,270
IS,2,3
JO,2,15
KE,2,11
KR,2,94
LK,2,11
LT,2,6
MA,2,14
MY,2,48
NG,2,53
PH,2,48
PK,2,52
PR,2,12
PS,2,12
RS,2,6
RU,2,50
SA,2,31
SG,2,11
SI,2,6
SK,2,11
TH,2,33
TN,2,8
UA,2,46
UY,2,4
VE,2,20
AE,1,12
AG,1,2
AL,1,4
AM,1,4
AO,1,1
AZ,1,3
BA,1,6
BF,1,1
BG,1,8
BH,1,4
BI,1,1
BJ,1,2
BN,1,1
BO,1,15
BY,1,3
CD,1,4
CG,1,1
CI,1,1
CM,1,6
CW,1,1
DO,1,7
DZ,1,15
EE,1,4
FJ,1,2
GA,1,1
GE,1,1
GM,1,1
GN,1,1
GT,1,3
GY,1,1
HN,1,4
