country_code,h3,institution_count
CN,15,852
US,14,1468
GB,11,215
AU,10,64
CA,9,120
IT,9,89
ES,8,85
FR,8,195
IR,8,188
JP,8,370
KR,8,174
RU,8,439
BR,7,245
DE,7,176
IN,7,656
MY,7,62
NL,7,40
NO,6,27
PL,6,77
PT,6,54
SA,6,39
SE,6,29
TR,6,134
AE,5,34
BE,5,20
DK,5,13
EG,5,57
GR,5,38
ID,5,312
IE,5,16
IL,5,22
KZ,5,51
NG,5,115
PK,5,122
TW,5,99
ZA,5,25
AR,4,52
AT,4,22
CH,4,31
CL,4,39
CO,4,89
FI,4,24
GH,4,20
HK,4,11
HR,4,16
IQ,4,50
KW,4,8
MX,4,117
NZ,4,17
RO,4,44
TH,4,64
UA,4,128
VN,4,74
BD,3,77
BG,3,25
BN,3,3
CZ,3,21
DZ,3,45
EC,3,43
HU,3,23
JO,3,21
KE,3,28
LB,3,11
LK,3,17
LY,3,10
MA,3,33
OM,3,15
PE,3,42
PH,3,79
QA,3,7
SG,3,22
TN,3,21
UZ,3,35
VE,3,22
AF,2,8
AZ,2,22
BF,2,4
BH,2,5
BO,2,11
BW,2,3
BY,2,20
CD,2,8
CM,2,10
CR,2,11
CU,2,11
CY,2,18
DO,2,7
EE,2,8
ET,2,32
FJ,2,3
HN,2,4
IS,2,4
JM,2,3
LT,2,9
LU,2,2
LV,2,14
ME,2,4
MK,2,2
MN,2,6
MO,2,4
MT,2,2
