country_code,h3,institution_count
US,21,1302
FR,14,188
GB,14,190
AU,13,51
CN,13,701
ES,13,79
IT,12,82
DE,11,145
JP,11,386
CA,10,100
BR,9,207
KR,9,134
CL,8,51
IN,8,393
MX,8,104
RU,8,294
SE,8,27
AR,7,42
BE,7,22
NL,7,41
NO,7,23
PL,7,62
PT,7,44
TR,7,122
AT,6,26
CH,6,25
GR,6,34
HK,6,9
IE,6,16
IL,6,19
NZ,6,17
TW,6,83
ZA,6,21
CO,5,63
DK,5,14
EG,5,40
FI,5,20
ID,5,138
IR,5,118
MA,5,24
MY,5,45
RO,5,44
CZ,4,18
EE,4,8
HR,4,14
HU,4,22
LV,4,7
PE,4,41
PH,4,73
TH,4,45
TN,4,16
UA,4,94
VE,4,12
AE,3,13
BD,3,41
BG,3,25
CY,3,11
DZ,3,29
EC,3,25
GE,3,15
GH,3,14
IQ,3,31
KZ,3,37
LT,3,6
ME,3,3
NG,3,54
PR,3,18
SA,3,23
SI,3,13
SK,3,14
VN,3,53
YE,3,8
AL,2,10
AM,2,5
AZ,2,22
BA,2,6
BB,2,2
CI,2,9
CM,2,8
CR,2,17
CU,2,13
DO,2,7
ET,2,7
GT,2,4
HN,2,3
IS,2,6
JO,2,9
KE,2,14
KW,2,3
LK,2,11
MD,2,6
MK,2,8
MM,2,12
MO,2,3
MT,2,3
MU,2,4
MZ,2,4
,2,2
NC,2,2
NP,2,5
OM,2,9
