country_code,h3,institution_count
US,33,1915
IT,23,122
CN,22,835
JP,22,571
GB,21,264
DE,20,249
FR,18,188
AU,16,75
CA,15,143
ES,14,109
KR,13,191
NL,13,52
PL,11,142
TR,11,174
TW,11,108
BR,10,346
CH,10,46
IN,10,886
GR,9,41
SE,9,36
AT,8,46
BE,8,37
EG,8,58
IL,8,28
IR,8,216
AR,7,66
FI,7,27
IE,7,20
MX,7,172
PT,7,68
RO,7,45
RU,7,241
SA,7,45
CL,6,46
CO,6,102
DK,6,25
HK,6,12
ID,6,227
MA,6,35
MY,6,60
NG,6,100
NO,6,26
NZ,6,19
PK,6,145
SG,6,22
TH,6,64
ZA,6,27
AE,5,31
BD,5,88
CZ,5,28
ET,5,35
HU,5,33
LB,5,19
RS,5,13
SK,5,19
TN,5,21
BG,4,24
CY,4,15
DZ,4,44
EC,4,45
GH,4,26
HR,4,19
IQ,4,59
JO,4,23
KE,4,36
LK,4,19
LT,4,13
NP,4,19
PE,4,57
PH,4,87
PR,4,23
PS,4,12
VN,4,72
AL,3,11
BA,3,14
BH,3,4
CM,3,11
CR,3,17
CU,3,18
IS,3,5
KZ,3,24
LV,3,19
LY,3,13
MK,3,9
MN,3,10
MO,3,4
OM,3,12
QA,3,7
RW,3,4
SD,3,33
SY,3,10
TZ,3,18
UA,3,82
UY,3,8
VE,3,20
YE,3,11
AF,2,8
AM,2,7
BB,2,2
BF,2,3
BJ,2,3
