country_code,h3,institution_count
US,22,1294
DE,14,182
IT,14,85
JP,14,311
CN,13,629
GB,13,201
AU,11,55
CA,11,89
TR,11,167
ES,10,86
KR,10,138
FR,9,132
NL,9,31
AT,8,39
IN,8,746
IR,8,169
PL,8,92
TW,8,77
BR,7,274
CH,7,34
EG,7,44
GR,7,31
BE,6,15
IL,6,20
NG,6,74
PT,6,50
SE,6,28
TH,6,47
CL,5,29
CZ,5,24
FI,5,16
MX,5,113
PK,5,120
RO,5,37
RU,5,191
SA,5,37
TN,5,17
AR,4,50
CO,4,65
DK,4,13
ET,4,23
HK,4,7
HR,4,17
HU,4,23
ID,4,139
IE,4,14
LB,4,8
MA,4,28
MY,4,52
NO,4,14
NP,4,16
NZ,4,15
RS,4,12
SG,4,22
ZA,4,23
AE,3,28
BA,3,8
BD,3,58
BG,3,11
CI,3,5
CR,3,15
GH,3,16
IQ,3,42
JO,3,15
KE,3,16
PE,3,34
PH,3,46
UA,3,59
UG,3,10
VE,3,10
VN,3,36
AL,2,6
BF,2,3
BH,2,5
BJ,2,4
BO,2,9
CD,2,6
CM,2,11
CU,2,18
CY,2,10
DZ,2,27
EC,2,30
GN,2,3
GT,2,6
IS,2,2
JM,2,4
KH,2,5
KZ,2,14
LK,2,12
LT,2,8
LV,2,9
LY,2,7
MD,2,2
ME,2,4
MK,2,6
ML,2,3
MM,2,13
MN,2,5
MO,2,3
MW,2,2
MZ,2,3
