country_code,h3,institution_count
CN,24,903
US,22,1737
IT,20,100
GB,19,234
JP,19,617
DE,18,247
FR,18,188
ES,17,87
IN,16,965
CA,15,149
EG,13,66
IR,13,246
KR,13,187
SA,13,40
AU,12,58
BR,12,286
PL,12,113
RU,12,441
NL,11,42
TR,11,169
TW,10,116
BE,9,29
CH,9,42
MA,9,35
MX,9,134
PK,9,139
SE,9,33
ZA,9,28
AR,8,54
AT,8,47
HU,8,28
RO,8,48
UA,8,146
CZ,7,33
DK,7,15
DZ,7,56
FI,7,19
GR,7,32
IE,7,17
IL,7,29
IQ,7,57
MY,7,59
PT,7,47
TH,7,76
BD,6,75
BG,6,31
CL,6,44
HK,6,10
ID,6,223
JO,6,25
NG,6,117
NZ,6,16
TN,6,28
VN,6,90
CO,5,75
KZ,5,47
SK,5,21
VE,5,17
AE,4,24
AM,4,13
CY,4,14
GH,4,17
HR,4,19
LB,4,13
LV,4,9
LY,4,13
NO,4,16
PR,4,17
PS,4,14
RS,4,13
SG,4,21
AZ,3,24
BY,3,34
CI,3,11
CM,3,11
CU,3,16
EC,3,33
ET,3,29
GE,3,14
KH,3,6
KW,3,5
LK,3,15
LT,3,11
MD,3,6
MK,3,7
MM,3,15
MO,3,3
NP,3,13
OM,3,10
PE,3,41
PH,3,52
QA,3,5
SD,3,26
SI,3,11
SY,3,10
TJ,3,8
UZ,3,44
YE,3,14
AF,2,11
AL,2,10
BA,2,10
