country_code,h3,institution_count
US,13,689
BR,12,321
DE,10,114
IT,10,70
JP,10,205
TR,10,135
GB,9,121
CN,8,383
KR,8,112
ES,7,61
IR,7,125
RO,7,29
SA,7,43
AU,6,39
CA,6,48
EG,6,45
IN,6,492
SE,6,18
TH,6,34
TW,6,56
BE,5,10
FR,5,70
MY,5,38
PL,5,47
PT,5,33
AE,4,22
AT,4,21
CH,4,22
CL,4,31
CY,4,10
DK,4,13
FI,4,12
GR,4,16
HU,4,10
ID,4,72
IQ,4,41
MX,4,77
NL,4,21
PE,4,37
PK,4,77
RU,4,87
AR,3,28
BA,3,4
BG,3,8
CO,3,44
EC,3,26
HR,3,11
JO,3,8
LB,3,6
NG,3,22
NO,3,10
RS,3,9
SG,3,8
SY,3,8
YE,3,8
ZA,3,20
BD,2,22
CR,2,10
CU,2,9
CZ,2,12
GE,2,5
HK,2,8
IE,2,8
IL,2,9
KW,2,3
LT,2,10
LY,2,11
MA,2,10
MK,2,7
MN,2,7
NP,2,10
NZ,2,9
PR,2,9
PS,2,4
QA,2,5
SD,2,8
SK,2,8
UA,2,31
UY,2,6
VE,2,9
VN,2,27
XK,2,4
AF,1,2
AG,1,1
AL,1,4
AM,1,1
AO,1,1
AZ,1,1
BF,1,1
BH,1,4
BN,1,2
BO,1,6
BS,1,1
BT,1,1
BY,1,5
BZ,1,1
CD,1,1
CI,1,2
CM,1,1
DM,1,1
DO,1,4
