country_code,h3,institution_count
GB,14,166
US,14,1118
DE,11,116
FR,11,115
AU,10,44
CN,10,495
AR,9,50
BR,9,216
CA,9,89
IT,9,68
ES,8,64
CH,7,24
JP,7,206
ZA,6,16
BE,5,15
CL,5,45
EG,5,29
IL,5,14
IN,5,219
IR,5,91
MX,5,114
NL,5,24
NO,5,13
NZ,5,14
PT,5,28
RU,5,145
SE,5,16
AT,4,23
CO,4,54
CZ,4,14
HU,4,20
IE,4,12
KR,4,60
MA,4,16
PL,4,47
TR,4,69
DK,3,8
EC,3,33
EE,3,4
FI,3,12
GR,3,17
GT,3,3
HK,3,8
IQ,3,18
KZ,3,16
MN,3,6
PE,3,45
PK,3,39
RO,3,15
SA,3,11
TH,3,27
TN,3,11
AE,2,6
BD,2,12
BG,2,11
BO,2,13
CI,2,4
CM,2,8
CR,2,11
CU,2,12
DO,2,7
DZ,2,22
GE,2,5
GH,2,5
HR,2,6
ID,2,47
JO,2,6
KW,2,2
LK,2,10
LT,2,7
LY,2,6
MG,2,2
MM,2,12
MY,2,20
NG,2,29
NI,2,9
OM,2,6
PA,2,4
PH,2,32
PR,2,8
PY,2,4
RS,2,4
SD,2,7
SG,2,7
SI,2,8
SK,2,6
SV,2,4
TW,2,30
TZ,2,5
UA,2,21
UY,2,5
VE,2,11
VN,2,24
AD,1,1
AF,1,1
AG,1,1
AL,1,5
AM,1,5
AO,1,1
AZ,1,4
BA,1,3
