country_code,h3,institution_count
US,16,953
BR,12,350
FR,12,107
GB,12,141
CN,11,513
AU,9,46
DE,9,100
IR,9,146
IT,9,60
CA,8,69
EG,8,43
ES,8,75
JP,8,231
PL,8,67
AR,7,56
MX,7,123
NL,7,30
SE,7,18
TR,7,113
BE,6,16
CH,6,25
ET,6,38
IN,6,461
KR,6,81
NG,6,106
TH,6,68
ZA,6,26
AT,5,19
CO,5,89
CZ,5,21
DK,5,10
MY,5,41
PT,5,43
TW,5,44
CL,4,34
CM,4,15
DZ,4,43
GH,4,19
GR,4,16
HU,4,14
ID,4,115
IE,4,8
IL,4,17
IQ,4,48
KE,4,31
LK,4,11
MA,4,19
NO,4,13
NZ,4,12
PH,4,57
PK,4,82
RO,4,23
RU,4,122
SA,4,34
SK,4,18
TN,4,14
TZ,4,19
VE,4,17
BD,3,45
BG,3,13
CI,3,9
CU,3,22
EC,3,40
FI,3,11
HK,3,7
HR,3,13
LT,3,7
LY,3,11
PE,3,55
PR,3,13
RS,3,7
SD,3,29
SG,3,11
SN,3,9
UG,3,18
VN,3,41
AE,2,11
AL,2,5
BB,2,3
BF,2,4
BJ,2,3
BO,2,19
CD,2,15
CR,2,9
CY,2,8
EE,2,3
FJ,2,3
GA,2,4
JO,2,10
KW,2,2
KY,2,2
KZ,2,14
LB,2,8
LV,2,8
MG,2,4
ML,2,3
MM,2,17
MN,2,5
MW,2,4
MZ,2,6
,2,2
