country_code,h3,institution_count
US,15,848
GB,12,148
JP,12,256
BR,11,306
CN,11,443
DE,9,108
IN,9,673
CA,8,64
IR,8,145
IT,8,61
AU,7,44
ES,7,64
FR,7,68
KR,7,125
SA,7,43
SE,7,25
TR,7,129
NG,6,72
PL,6,51
PT,6,38
RO,6,33
TH,6,47
TW,6,58
CL,5,38
CO,5,68
EG,5,41
FI,5,20
ID,5,146
MX,5,91
MY,5,40
RU,5,115
ZA,5,17
AE,4,19
AR,4,30
BE,4,12
CH,4,17
HR,4,13
IL,4,17
IQ,4,46
NL,4,28
NO,4,20
NP,4,12
PE,4,50
PK,4,108
RS,4,7
AT,3,21
BA,3,7
BD,3,45
BG,3,10
DK,3,17
EC,3,31
GR,3,21
HK,3,7
HU,3,12
IE,3,11
NZ,3,13
SG,3,12
SK,3,12
UA,3,41
VN,3,30
YE,3,13
AL,2,10
AZ,2,4
BH,2,3
BO,2,12
BY,2,7
CI,2,6
CM,2,7
CR,2,11
CU,2,17
CY,2,9
CZ,2,14
DO,2,7
DZ,2,13
ET,2,27
GE,2,12
GH,2,12
JO,2,12
KE,2,11
KH,2,7
KW,2,4
KZ,2,11
LB,2,11
LK,2,13
LT,2,7
LV,2,6
LY,2,12
MA,2,12
MK,2,8
MM,2,12
NI,2,5
OM,2,6
PH,2,35
PR,2,13
PS,2,6
PY,2,11
QA,2,6
RW,2,4
SD,2,18
SI,2,9
SN,2,2
