country_code,h3,institution_count
US,12,743
IN,11,801
IT,11,58
GB,10,127
BR,9,145
CN,9,516
EG,9,54
JP,9,257
FR,8,89
PK,8,102
SA,8,37
AU,7,34
CA,7,56
DE,7,120
ES,7,50
IR,7,144
KR,7,94
TH,7,44
BE,6,18
RU,6,158
TR,6,98
AR,5,23
AT,5,19
CH,5,17
HU,5,12
ID,5,129
IL,5,12
JO,5,21
MY,5,47
NG,5,56
NL,5,19
PL,5,48
PT,5,28
RO,5,24
SE,5,17
AE,4,22
BG,4,13
CZ,4,16
DK,4,10
DZ,4,29
GR,4,14
IE,4,14
IQ,4,39
MX,4,57
TW,4,63
ZA,4,20
BD,3,46
CO,3,25
CY,3,11
ET,3,16
FI,3,8
HK,3,6
LB,3,9
NO,3,7
NP,3,11
NZ,3,9
RS,3,7
SD,3,13
VN,3,34
BA,2,5
BH,2,2
CD,2,2
CL,2,17
CU,2,6
EC,2,8
GH,2,6
HR,2,5
IS,2,4
KZ,2,20
LK,2,9
LY,2,8
MA,2,10
MM,2,7
OM,2,8
PR,2,5
PS,2,6
SG,2,13
SK,2,9
SY,2,7
TN,2,6
UA,2,45
VE,2,4
YE,2,8
AF,1,3
AL,1,3
AM,1,3
AO,1,1
AZ,1,5
BF,1,1
BI,1,1
BJ,1,2
BM,1,1
BN,1,1
BO,1,2
BT,1,1
BW,1,2
BY,1,6
CG,1,1
CI,1,1
CM,1,6
CR,1,5
