country_code,h3,institution_count
US,6,924
AU,5,43
CA,5,74
ES,5,83
GB,5,141
BR,4,240
CO,4,83
DE,4,89
IT,4,52
NL,4,25
AT,3,14
CL,3,37
DK,3,10
FI,3,14
IE,3,11
IN,3,333
IR,3,107
JP,3,134
MX,3,87
NZ,3,11
RO,3,18
SA,3,35
TR,3,100
AE,2,15
AR,2,35
BE,2,14
CH,2,15
CN,2,170
CR,2,10
CU,2,18
EC,2,39
EG,2,33
FR,2,47
GH,2,8
GR,2,17
HK,2,4
HR,2,6
HU,2,11
ID,2,103
IL,2,16
KR,2,51
KZ,2,7
LB,2,9
LT,2,6
MY,2,37
NO,2,18
PE,2,47
PK,2,41
PL,2,35
PT,2,29
RU,2,53
SE,2,20
SG,2,8
TH,2,23
TW,2,31
UY,2,4
ZA,2,18
AD,1,1
AF,1,1
AG,1,1
AL,1,2
AM,1,1
AO,1,2
AZ,1,2
BA,1,4
BB,1,1
BD,1,21
BG,1,5
BH,1,2
BJ,1,1
BM,1,1
BN,1,1
BO,1,9
BS,1,1
BT,1,1
BW,1,2
BY,1,1
BZ,1,1
CD,1,2
CF,1,1
CI,1,1
CM,1,3
CY,1,6
CZ,1,7
DO,1,4
DZ,1,7
EE,1,2
ER,1,1
ET,1,15
GA,1,1
GE,1,2
GP,1,1
GT,1,3
GY,1,1
HN,1,2
HT,1,1
IQ,1,19
IS,1,2
JM,1,2
JO,1,13
KE,1,3
