country_code,h3,institution_count
US,14,1758
GB,12,238
CA,8,154
DE,8,230
FR,8,191
AU,7,56
TR,7,191
BE,6,29
CH,6,39
IT,6,92
NL,6,41
BR,5,349
ES,5,94
IL,5,31
SE,5,31
ZA,5,25
AT,4,43
DK,4,15
FI,4,16
HK,4,11
IE,4,20
NO,4,30
NZ,4,15
PL,4,105
PT,4,60
AR,3,63
CL,3,46
CN,3,247
CO,3,90
CY,3,16
CZ,3,21
GR,3,28
HU,3,30
IN,3,523
JP,3,181
KR,3,86
MX,3,87
RU,3,208
SG,3,14
AE,2,16
BG,2,9
CR,2,14
EC,2,27
EG,2,23
GH,2,12
HR,2,16
ID,2,156
IR,2,99
KE,2,24
KZ,2,17
LB,2,7
LT,2,13
MT,2,2
MY,2,33
MZ,2,6
NG,2,71
PE,2,37
PH,2,54
PK,2,81
PR,2,12
QA,2,6
RO,2,41
RS,2,12
SA,2,19
SI,2,10
SK,2,18
SV,2,5
TH,2,21
TW,2,41
UA,2,76
VE,2,14
VN,2,13
AD,1,1
AF,1,6
AG,1,1
AL,1,9
AM,1,7
AO,1,6
AZ,1,6
BA,1,4
BD,1,27
BF,1,2
BH,1,3
BI,1,2
BJ,1,3
BN,1,2
BO,1,14
BS,1,1
BT,1,1
BW,1,1
BY,1,6
BZ,1,1
CD,1,12
CF,1,1
CG,1,1
CI,1,4
CM,1,11
CU,1,10
CV,1,3
DJ,1,1
DO,1,1
