country_code,h3,institution_count
US,8,1071
AU,7,43
CA,7,81
DE,7,188
GB,7,143
ID,7,392
IT,6,73
UA,6,166
BR,5,228
CH,5,33
ES,5,83
FR,5,83
JP,5,332
NL,5,28
PL,5,73
SE,5,21
AT,4,32
BE,4,17
CN,4,442
HU,4,16
IE,4,10
IL,4,15
KR,4,126
MY,4,50
NO,4,18
NZ,4,13
PT,4,41
RO,4,46
SG,4,12
TW,4,73
CZ,3,18
DK,3,16
FI,3,20
GR,3,24
HK,3,9
HR,3,15
IN,3,304
IR,3,133
LT,3,16
NG,3,41
RS,3,13
RU,3,308
SA,3,25
SK,3,17
TH,3,48
TN,3,12
TR,3,132
ZA,3,17
AE,2,11
AR,2,20
BA,2,11
BD,2,23
BG,2,18
BY,2,20
CL,2,32
CO,2,56
CR,2,5
CY,2,9
EC,2,29
EG,2,32
GH,2,10
IQ,2,33
IS,2,2
JO,2,12
KE,2,13
KG,2,5
KZ,2,40
LV,2,8
MD,2,5
MK,2,7
MX,2,48
PE,2,20
PH,2,99
PK,2,54
PR,2,5
SI,2,9
TZ,2,5
UZ,2,22
XK,2,4
YE,2,2
AF,1,4
AG,1,2
AL,1,5
AM,1,6
AO,1,1
AS,1,1
AZ,1,7
BH,1,2
BI,1,2
BJ,1,2
BN,1,1
BO,1,5
BW,1,1
BZ,1,1
CD,1,2
CG,1,1
CM,1,5
CU,1,14
CW,1,1
DO,1,3
DZ,1,19
