country_code,h3,institution_count
US,30,2690
GB,20,369
IT,19,168
CN,18,1186
DE,18,329
JP,18,878
AU,17,96
CA,17,224
FR,16,272
ES,15,164
BR,14,526
KR,14,297
BE,11,52
NL,11,70
PL,11,185
TW,11,154
TR,10,234
CH,9,66
IN,9,1055
IR,9,342
PT,9,89
SE,9,54
AT,8,63
CL,8,86
FI,8,42
GR,8,59
HU,8,46
IL,8,47
NO,8,36
EG,7,88
IE,7,30
MX,7,244
NZ,7,38
RU,7,495
ZA,7,38
AR,6,104
CO,6,153
CZ,6,48
DK,6,33
HK,6,17
MY,6,87
RO,6,75
SA,6,61
TH,6,99
AE,5,37
ET,5,41
HR,5,26
LB,5,22
NG,5,151
RS,5,20
SG,5,33
TN,5,29
BA,4,12
BG,4,32
CY,4,20
ID,4,277
IQ,4,82
JO,4,28
LT,4,16
MA,4,41
PE,4,78
PH,4,101
PK,4,164
SI,4,26
SK,4,26
UA,4,156
VN,4,85
AF,3,6
AM,3,11
BD,3,96
BH,3,6
BY,3,22
CM,3,23
CR,3,20
CU,3,32
DZ,3,54
EC,3,54
EE,3,12
GE,3,20
GH,3,23
IS,3,10
KE,3,26
KW,3,8
KZ,3,46
LK,3,21
MO,3,5
NP,3,21
PR,3,31
PS,3,17
QA,3,11
SY,3,11
TZ,3,15
UY,3,8
VE,3,29
YE,3,13
AG,2,2
AL,2,10
BJ,2,5
BO,2,21
CD,2,12
CV,2,3
