country_code,h3,institution_count
US,20,2474
GB,17,322
DE,14,374
CA,12,196
AU,11,78
NL,11,66
IT,10,126
CH,9,67
ES,9,120
FR,9,273
BE,8,45
BR,8,380
SE,8,37
AT,7,65
CN,7,710
DK,7,33
HK,7,12
IE,7,23
MX,7,214
NO,7,41
PL,7,256
TR,7,200
ZA,7,38
CL,6,66
CZ,6,49
FI,6,37
GR,6,48
ID,6,477
IL,6,44
IN,6,795
NZ,6,24
PK,6,162
PT,6,81
RU,6,572
AE,5,34
AR,5,91
CO,5,155
HU,5,44
JP,5,352
KR,5,147
LT,5,32
NG,5,123
RO,5,84
SK,5,31
TH,5,99
UA,5,210
BD,4,95
DZ,4,68
EE,4,15
ET,4,37
GH,4,31
HR,4,31
KZ,4,69
LV,4,31
MY,4,71
PE,4,81
PH,4,136
QA,4,13
RS,4,20
SI,4,31
TN,4,27
TW,4,99
AF,3,26
AL,3,23
AM,3,14
AZ,3,31
BA,3,19
BG,3,41
BO,3,28
CR,3,34
CU,3,21
CY,3,25
EC,3,59
EG,3,53
GE,3,28
IQ,3,56
IR,3,201
IS,3,5
JO,3,26
KE,3,42
KG,3,25
KH,3,20
LB,3,19
LK,3,21
MA,3,47
MD,3,19
ME,3,6
MK,3,14
MN,3,12
MO,3,5
NP,3,15
PR,3,24
SA,3,43
SG,3,23
TZ,3,24
UG,3,28
UY,3,9
VE,3,36
VN,3,88
BF,2,5
BI,2,5
