country_code,h3,institution_count
CN,19,852
US,14,1008
FR,12,168
IN,12,775
JP,12,435
DE,11,172
IT,11,72
KR,11,166
BR,10,235
CA,10,87
GB,10,168
PL,10,83
TR,10,162
ES,9,70
IR,9,192
MY,9,62
TW,9,104
AU,8,40
EG,8,51
SA,8,41
BD,7,64
BE,7,18
CZ,7,22
IQ,7,51
NL,7,32
RO,7,39
RU,7,296
SE,7,23
TH,7,70
AR,6,31
AT,6,24
FI,6,18
GR,6,28
ID,6,210
IL,6,17
MX,6,95
PK,6,103
ZA,6,24
CH,5,24
CL,5,27
DZ,5,53
HK,5,9
HU,5,22
IE,5,16
MA,5,25
NG,5,103
PT,5,31
TN,5,20
BG,4,25
CO,4,71
DK,4,10
ET,4,29
JO,4,20
NZ,4,11
UA,4,93
VN,4,69
AE,3,18
CM,3,10
EC,3,30
HR,3,13
KZ,3,36
LK,3,14
LT,3,10
LV,3,9
MK,3,7
NO,3,12
PE,3,33
PH,3,56
PR,3,8
RS,3,9
SG,3,20
SI,3,13
SK,3,16
UZ,3,37
VE,3,10
YE,3,11
AL,2,5
AM,2,5
AZ,2,15
BA,2,9
BH,2,5
BY,2,18
CI,2,5
CR,2,7
CU,2,7
EE,2,5
GE,2,10
GH,2,11
KE,2,17
KH,2,5
KP,2,2
KW,2,6
LB,2,11
LY,2,10
ME,2,2
MO,2,3
MU,2,3
MZ,2,4
NP,2,9
OM,2,9
PS,2,9
