country_code,h3,institution_count
US,10,970
GB,9,169
AU,8,54
CA,7,81
NL,6,33
NZ,6,18
ZA,5,27
DE,4,119
DK,4,11
HK,4,11
IE,4,12
IL,4,19
IT,4,41
KR,4,49
NO,4,21
SE,4,28
AT,3,13
BE,3,15
CH,3,25
CN,3,155
ES,3,38
FI,3,17
RU,3,36
BD,2,15
BR,2,55
CL,2,15
CZ,2,7
EE,2,4
FR,2,43
GH,2,11
GR,2,16
HU,2,9
IN,2,122
IR,2,27
JO,2,6
JP,2,76
KZ,2,10
LK,2,5
LT,2,15
LV,2,4
MX,2,17
MY,2,28
NG,2,37
PH,2,19
PK,2,25
PT,2,20
RO,2,12
SG,2,8
SK,2,8
TH,2,17
TR,2,39
TW,2,28
ZW,2,6
AE,1,10
AL,1,4
AM,1,1
AR,1,10
AZ,1,1
BA,1,2
BB,1,1
BG,1,7
BH,1,1
BJ,1,1
BN,1,1
BO,1,4
BS,1,1
BT,1,1
BW,1,2
CM,1,2
CO,1,10
CR,1,2
CY,1,3
DZ,1,4
EC,1,4
EG,1,11
ET,1,7
FJ,1,1
GE,1,2
GY,1,1
HR,1,1
ID,1,37
IQ,1,4
IS,1,2
JM,1,2
KE,1,9
KG,1,2
KH,1,2
KW,1,1
LB,1,5
LR,1,1
LS,1,1
LU,1,1
LY,1,1
MA,1,4
MD,1,3
ME,1,1
MK,1,4
MM,1,1
MN,1,2
MO,1,2
MR,1,1
