country_code,h3,institution_count
US,28,2500
GB,21,348
AU,18,94
CN,17,844
BR,16,421
CA,16,188
DE,16,313
ES,15,118
FR,14,221
IT,14,129
JP,13,639
IR,12,235
KR,12,259
PL,12,183
IN,11,978
NL,11,70
SE,10,40
TW,10,118
CO,9,158
GR,9,46
MX,9,264
TR,9,186
AT,8,59
BE,8,46
CH,8,69
CL,8,65
EG,8,66
ID,8,342
KE,8,50
MY,8,69
NG,8,141
PT,8,96
SA,8,47
TH,8,110
TZ,8,35
ZA,8,37
AR,7,93
ET,7,40
FI,7,36
IE,7,24
IL,7,42
LK,7,22
NO,7,33
PK,7,167
BD,6,98
CM,6,20
CZ,6,34
DK,6,27
HK,6,12
HU,6,32
MA,6,35
NZ,6,26
PE,6,84
RU,6,390
SG,6,32
VN,6,97
AE,5,40
CI,5,11
EC,5,57
GH,5,46
HR,5,25
LB,5,23
NP,5,22
RO,5,52
SK,5,22
TN,5,27
UG,5,32
BG,4,29
BJ,4,11
BO,4,30
CD,4,35
CR,4,30
CU,4,26
CY,4,19
DZ,4,55
EE,4,10
IQ,4,55
JO,4,25
MM,4,35
MW,4,7
PH,4,144
PR,4,28
PS,4,14
RS,4,16
SD,4,42
SI,4,24
SN,4,14
VE,4,34
ZM,4,13
AL,3,18
AO,3,12
BA,3,13
BH,3,9
BY,3,16
CV,3,3
DO,3,17
FJ,3,3
GA,3,4
GE,3,17
GT,3,11
JM,3,6
