country_code,h3,institution_count
US,9,934
AU,7,53
BR,6,261
CA,6,86
CN,6,410
ES,6,72
GB,6,149
IR,6,161
EG,5,37
IN,5,424
IT,5,76
KR,5,106
MY,5,54
NG,5,107
SE,5,29
TR,5,150
DE,4,93
DK,4,10
FI,4,20
FR,4,96
GR,4,29
HK,4,10
IQ,4,43
JP,4,170
MA,4,21
NL,4,34
NO,4,19
NZ,4,12
PL,4,56
RS,4,8
SA,4,40
ZA,4,25
AE,3,16
AT,3,24
BD,3,48
CH,3,28
ET,3,28
GH,3,29
HU,3,14
ID,3,160
IE,3,13
IL,3,12
JO,3,19
MX,3,63
PK,3,81
PT,3,42
RO,3,32
RU,3,104
TH,3,41
TW,3,66
VN,3,31
AL,2,8
AR,2,25
BA,2,10
BE,2,16
BG,2,7
BN,2,3
CD,2,3
CL,2,31
CM,2,7
CO,2,76
CR,2,7
CU,2,12
CY,2,15
CZ,2,12
DZ,2,26
EC,2,33
EE,2,5
GE,2,6
HR,2,6
KE,2,22
KZ,2,17
LB,2,6
LK,2,12
LT,2,7
MK,2,5
,2,3
NP,2,14
PE,2,38
PH,2,39
PS,2,13
SD,2,11
SG,2,12
SI,2,7
SK,2,8
TG,2,2
TN,2,10
TZ,2,17
UA,2,38
UG,2,10
UZ,2,7
XK,2,4
YE,2,7
ZW,2,6
AF,1,7
AG,1,1
AM,1,2
AO,1,2
AW,1,1
AZ,1,7
BF,1,2
