country_code,h3,institution_count
US,12,1088
CN,10,593
AU,9,49
CA,9,94
GB,9,178
DE,8,148
IT,8,82
JP,8,370
NL,8,32
BR,7,298
KR,7,164
BE,6,21
ES,6,92
FR,6,98
IR,6,178
PL,6,81
SE,6,26
TW,6,89
CH,5,31
IL,5,19
AT,4,31
DK,4,13
EG,4,45
FI,4,20
GR,4,25
HK,4,9
HU,4,14
IE,4,15
IN,4,528
MY,4,57
NG,4,65
NO,4,19
NZ,4,16
PK,4,105
PT,4,50
RU,4,134
SA,4,36
TH,4,49
TR,4,134
ZA,4,23
CL,3,41
CZ,3,23
ET,3,16
HR,3,8
ID,3,134
LT,3,12
MX,3,88
RO,3,32
RS,3,7
SG,3,17
SI,3,8
SK,3,10
AE,2,21
AR,2,20
AZ,2,4
BA,2,4
BD,2,42
BG,2,12
BH,2,5
BJ,2,2
CM,2,12
CO,2,63
CR,2,7
CU,2,13
CY,2,8
EC,2,28
GE,2,7
GH,2,9
IQ,2,37
IS,2,2
JM,2,3
JO,2,15
KZ,2,17
LB,2,11
LK,2,11
MA,2,14
NP,2,11
PE,2,20
PH,2,38
PR,2,9
QA,2,5
TG,2,2
TN,2,11
UA,2,56
VN,2,28
AF,1,5
AG,1,1
AL,1,6
AM,1,4
AO,1,2
AW,1,1
BB,1,2
BF,1,1
BI,1,3
BN,1,2
BO,1,6
BS,1,1
BT,1,1
BW,1,1
BY,1,9
CD,1,7
