country_code,h3,institution_count
US,9,1387
GB,8,201
DE,7,190
CA,6,113
NL,6,26
ZA,6,30
AU,5,63
ID,5,310
AT,4,29
BE,4,18
CH,4,30
FR,4,95
IL,4,25
IN,4,239
NO,4,20
TR,4,163
ES,3,68
FI,3,10
GH,3,23
IE,3,13
IT,3,70
JP,3,142
KE,3,30
KR,3,58
NG,3,64
NZ,3,15
PL,3,91
SE,3,18
AE,2,11
AR,2,28
BR,2,81
CL,2,22
CN,2,75
CO,2,30
CZ,2,12
DK,2,9
GR,2,14
HK,2,7
HR,2,9
HU,2,19
LK,2,9
MX,2,36
MY,2,17
PH,2,36
PT,2,23
RO,2,28
RU,2,54
SG,2,10
TH,2,20
TN,2,6
TW,2,26
ZW,2,7
AF,1,1
AL,1,3
AZ,1,1
BA,1,3
BD,1,11
BF,1,2
BG,1,3
BH,1,1
BI,1,2
BJ,1,1
BO,1,6
BS,1,1
BW,1,1
BY,1,1
CD,1,8
CF,1,1
CG,1,1
CI,1,3
CM,1,8
CR,1,11
CU,1,7
CW,1,2
CY,1,5
DO,1,3
DZ,1,7
EC,1,12
EE,1,3
EG,1,14
ET,1,6
FJ,1,1
GA,1,1
GE,1,2
GF,1,1
GL,1,1
GM,1,1
GN,1,1
GP,1,1
GT,1,3
GU,1,1
HT,1,6
IQ,1,14
IR,1,42
IS,1,2
JM,1,5
JO,1,5
KG,1,1
KH,1,4
KP,1,1
KW,1,2
