country_code,h3,institution_count
US,20,1276
CN,14,595
GB,14,192
IT,14,79
JP,12,324
CA,11,86
DE,11,145
ES,11,79
FR,11,121
IR,11,190
TR,10,157
AU,9,53
BR,9,307
KR,9,133
PL,9,88
IN,8,654
NL,8,33
TW,8,81
AR,7,52
BE,7,24
EG,7,53
GR,7,34
IL,7,24
SE,7,31
AT,6,29
CL,6,43
IE,6,14
NO,6,19
ZA,6,25
CH,5,23
CZ,5,21
FI,5,18
HU,5,19
ID,5,140
MX,5,105
NG,5,93
PK,5,107
PT,5,42
RU,5,152
TH,5,41
BG,4,18
DK,4,14
IQ,4,49
MA,4,28
MY,4,39
RO,4,32
RS,4,6
SA,4,37
SG,4,14
SK,4,8
TN,4,18
AE,3,29
BD,3,60
CM,3,7
CO,3,73
CY,3,12
DZ,3,32
EC,3,32
GH,3,16
HK,3,9
HR,3,10
JO,3,15
LB,3,16
LK,3,14
NP,3,13
NZ,3,14
PE,3,33
PR,3,14
PS,3,11
UA,3,50
VE,3,14
VN,3,42
AZ,2,7
BA,2,9
BH,2,3
BJ,2,3
BO,2,14
BY,2,6
CD,2,10
CI,2,5
CR,2,12
CU,2,16
DO,2,5
EE,2,3
ET,2,23
GE,2,12
JM,2,2
KE,2,10
KH,2,4
KW,2,2
KZ,2,16
LT,2,7
LV,2,6
LY,2,10
MK,2,8
MN,2,8
MO,2,3
MR,2,2
MT,2,3
NI,2,5
PH,2,48
